@relation train_std_main_financial_metrics-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute numberOfAnalystOpinions numeric
@attribute currentPrice numeric
@attribute allTimeHigh numeric
@attribute allTimeLow numeric
@attribute 52WeekChange numeric
@attribute fiftyDayAverageChangePercent numeric
@attribute twoHundredDayAverageChangePercent numeric
@attribute beta numeric
@attribute averageVolume numeric
@attribute marketCap numeric
@attribute enterpriseValue numeric
@attribute priceToBook numeric
@attribute enterpriseToRevenue numeric
@attribute profitMargins numeric
@attribute grossMargins numeric
@attribute ebitdaMargins numeric
@attribute operatingMargins numeric
@attribute returnOnAssets numeric
@attribute returnOnEquity numeric
@attribute revenueGrowth numeric
@attribute totalRevenue numeric
@attribute revenuePerShare numeric
@attribute grossProfits numeric
@attribute ebitda numeric
@attribute netIncomeToCommon numeric
@attribute trailingEps numeric
@attribute totalCash numeric
@attribute totalCashPerShare numeric
@attribute totalDebt numeric
@attribute quickRatio numeric
@attribute currentRatio numeric
@attribute bookValue numeric
@attribute operatingCashflow numeric
@attribute freeCashflow numeric
@attribute trailingAnnualDividendYield numeric
@attribute payoutRatio numeric
@attribute sharesOutstanding numeric
@attribute floatShares numeric
@attribute sharesShort numeric
@attribute sharesPercentSharesOut numeric
@attribute shortRatio numeric
@attribute shortPercentOfFloat numeric
@attribute heldPercentInsiders numeric
@attribute heldPercentInstitutions numeric
@attribute fullTimeEmployees numeric
@attribute _debtToEquity numeric
@attribute _PER numeric
@attribute sector numeric
@attribute state numeric
@attribute In_SP500 numeric
@attribute In_NASDAQ numeric
@attribute is_Insolvent numeric
@attribute has_benefits numeric
@attribute target {0,1,2,3,4}

@data
1.015235,-0.310562,-0.016381,-0.345106,-0.353007,-1.291414,-1.22577,-0.001102,-0.191301,-0.178134,-0.199951,-0.278659,-0.039092,-0.072609,0.365967,-0.196827,0.052535,-0.317364,-0.136425,-0.058739,-0.257495,-0.258468,-0.24544,-0.258824,-0.174698,-0.198959,-0.164466,0.015689,-0.35568,0.50098,0.450208,-0.310481,-0.225428,-0.143576,-0.642815,-0.183513,-0.272406,-0.255247,-0.219068,0.548436,-0.223901,0.44745,-0.404415,1.960729,-0.216763,-0.234,0.711034,9,4,0,0,0,0,1
0.894193,-0.322877,-0.164359,-0.164991,0.980523,1.559397,1.818494,0.734702,6.13101,0.079174,0.232571,-0.348846,-0.03901,-0.054977,0.032,0.008934,0.052446,-0.261397,-0.129513,-0.082694,0.721052,-0.252426,1.063648,0.828702,-0.027342,-0.187499,0.76345,-0.178268,2.268373,-0.364776,-0.421997,-0.231194,0.565211,4.445594,-0.642815,-0.183513,2.956695,2.751429,4.172185,-0.360979,-1.167332,-0.482758,-0.01898,-0.855157,0.170063,1.476375,0.096074,1,35,1,1,0,0,2
0.773152,-0.296091,-0.142607,1.468034,-0.336032,-0.383607,-0.59918,-1.459083,1.134985,-0.008806,0.074871,-0.382744,-0.039021,-0.390342,-0.271493,0.066898,0.052983,0.09278,-0.402646,-0.088788,0.376891,-0.219795,0.398204,0.59486,-1.194146,-0.475212,0.253447,-0.172677,1.227438,-0.379473,-0.414797,0.074632,0.453126,0.49763,2.108368,-0.017054,1.217049,0.779657,2.079764,-0.232194,-0.457902,-0.217371,1.93806,-1.674616,0.182179,0.154938,-0.202169,3,40,1,1,0,1,4
-0.195179,-0.322109,-0.185535,-0.275919,0.192117,1.54932,1.050295,0.421304,-0.35145,-0.17975,-0.204083,-0.161247,-0.037206,-0.965403,-1.826601,-1.134466,0.052426,-1.708418,-0.570999,0.237126,-0.283258,-0.335451,-0.295846,-0.278515,-0.190628,-0.265308,-0.241302,-0.123691,-0.416241,1.473152,1.287185,-0.3828,-0.259647,-0.199161,-0.642815,-0.183513,-0.275228,-0.248958,-0.208188,0.645519,2.754966,0.482654,-0.48068,0.707505,-0.250688,-0.295147,-0.202169,6,8,0,0,0,1,0
-0.316221,0.312184,-0.03461,-0.411547,0.479695,1.557486,1.545508,0.477171,-0.363977,-0.145053,-0.168563,-0.054034,-0.038395,-0.008957,-0.179038,-0.118725,0.052693,0.012231,-0.021614,-0.040668,-0.243606,-0.086768,-0.245474,-0.241899,-0.159912,-0.069277,-0.147598,0.347784,-0.364367,0.241607,0.360982,0.050891,-0.222784,-0.166521,-0.552896,-0.143185,-0.325642,-0.298171,-0.418837,0.106607,0.682388,0.366209,-0.450013,0.960802,-0.132836,-0.28288,0.227694,7,5,0,0,0,0,2
0.410028,-0.159644,-0.059875,2.46301,-0.536962,-0.479546,-1.313414,1.809793,0.086734,-0.144772,-0.167854,0.204508,-0.037799,0.106388,-0.170379,-0.121676,0.052647,0.004355,0.260714,-0.042349,-0.258076,-0.289247,-0.261671,-0.251193,-0.149244,-0.135023,-0.218673,-0.136613,-0.384041,0.17792,0.009734,-0.352692,-0.22571,-0.196011,-0.642815,-0.183513,-0.220315,-0.209673,0.078151,1.061591,-0.446759,0.512442,-0.053044,-0.352321,-0.129201,-0.248251,0.068596,2,7,0,0,0,0,2
0.894193,-0.045159,-0.116754,1.341741,-0.047961,-0.315187,-0.652353,-1.141598,-0.160577,-0.114389,-0.123199,-0.04389,-0.039329,-0.043663,-0.747164,-0.212138,0.052563,0.504953,0.463444,-0.077651,0.26161,0.596637,0.016811,-0.115901,-0.06463,0.056786,-0.292044,-0.228808,-0.213175,-0.498681,-0.486795,-0.210651,-0.103025,-0.155267,-0.642815,-0.183513,-0.199045,-0.174443,-0.097293,0.231429,-0.012186,0.122486,-0.48524,0.958482,0.145831,-0.174748,-0.092365,3,19,0,0,0,0,2
-0.074138,-0.346081,-0.20198,-0.508189,-0.085011,-0.330017,0.719062,0.334098,-0.116546,-0.173132,-0.200438,0.007217,-0.031724,-0.084335,-7.818586,-0.288092,0.03979,-4.088854,-1.458314,-0.12283,-0.284993,-0.343143,-0.303866,-0.301185,-0.218253,-0.282197,-0.217513,-0.17013,-0.411722,2.140227,1.905339,-0.423345,-0.281676,-0.229044,-0.642815,-0.183513,-0.091138,-0.148713,0.102814,0.378044,0.221815,-0.041349,-0.307945,-0.839962,-0.250676,-0.265805,-0.202169,6,19,0,0,0,1,1
-0.195179,1.665255,0.409479,0.130693,0.083794,0.032426,0.093229,-0.11011,-0.375123,-0.031601,-0.043492,-0.264378,-0.038284,0.129251,-0.014911,0.058505,0.052929,0.190155,0.01266,-0.063362,-0.131594,0.405078,-0.092733,-0.071704,-0.010544,0.885544,-0.234904,-0.033981,-0.214684,-0.277955,-0.263087,2.873676,-0.084596,-0.028571,-0.642815,-0.183513,-0.313298,-0.286244,-0.497678,-0.85234,-0.621331,-0.855112,-0.469236,0.275507,-0.073468,-0.28944,-0.044278,9,4,1,0,0,0,1
-1.042469,-0.067157,-0.051852,0.553228,-0.496595,-0.708513,-0.483619,-0.995799,-0.389583,-0.178377,-0.197413,-0.324299,-0.03922,-0.004255,-0.185904,-0.128436,0.052673,0.228103,0.060677,-0.099505,-0.234659,0.285731,-0.235664,-0.23819,-0.155597,0.140023,-0.300733,-0.227845,-0.367491,-0.21318,-0.35977,0.365261,-0.230976,-0.170985,-0.363231,-0.161276,-0.351614,-0.323592,-0.51634,-0.798845,-0.911046,-0.815846,-0.415949,0.797961,-0.144952,-0.289368,-0.124095,7,48,0,0,0,0,2
