@relation 'train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48'

@attribute numberOfAnalystOpinions numeric
@attribute sector {0,1,2,3,4,5,6,7,8,9,10}
@attribute In_SP500 {0,1}
@attribute In_NASDAQ {0,1}
@attribute currentPrice numeric
@attribute allTimeHigh numeric
@attribute allTimeLow numeric
@attribute beta numeric
@attribute averageVolume numeric
@attribute marketCap numeric
@attribute enterpriseValue numeric
@attribute priceToBook numeric
@attribute enterpriseToRevenue numeric
@attribute profitMargins numeric
@attribute grossMargins numeric
@attribute ebitdaMargins numeric
@attribute operatingMargins numeric
@attribute returnOnAssets numeric
@attribute returnOnEquity numeric
@attribute totalRevenue numeric
@attribute revenuePerShare numeric
@attribute grossProfits numeric
@attribute ebitda numeric
@attribute netIncomeToCommon numeric
@attribute trailingEps numeric
@attribute totalCash numeric
@attribute totalCashPerShare numeric
@attribute totalDebt numeric
@attribute quickRatio numeric
@attribute currentRatio numeric
@attribute bookValue numeric
@attribute operatingCashflow numeric
@attribute freeCashflow numeric
@attribute trailingAnnualDividendYield numeric
@attribute payoutRatio numeric
@attribute sharesOutstanding numeric
@attribute floatShares numeric
@attribute sharesShort numeric
@attribute sharesPercentSharesOut numeric
@attribute shortRatio numeric
@attribute shortPercentOfFloat numeric
@attribute heldPercentInsiders numeric
@attribute heldPercentInstitutions numeric
@attribute fullTimeEmployees numeric
@attribute _debtToEquity numeric
@attribute has_benefits {0,1}
@attribute _PER numeric
@attribute target {0,1,2,3,4}

@data
18,7,1,0,102.76,115,65.51,1.142,1277257,25501009920,26812008448,9.610025,5,0.16654,0.59884,0.2473,0.2283,0.11961,0.41219,5361999872,21.643,3211000064,1326000000,893000000,3.58,1559000064,6.282,2862000128,1.911,2.316,10.693,1005000000,777124992,0.004121,0.1173,248160850,247537966,3544161,0.0143,2.58,0.0162,0.00139,0.96581,17000,267651746.75021,0,28.703911,2
20,9,0,0,51.08,348.495,23.61,1.424,3557218,5191189504,4758475264,1.344352,3.254,0.01627,0.84288,-0.00387,-0.05804,-0.00524,0.00591,1462569984,14.122,1232765056,-5667000,23799000,-0.07,2218456064,21.829,1785741952,0.644,1.578,37.996,350644000,240079872,0,0,101628611,83377129,12354939,0.1216,2.87,0.1895,0.10954,0.95663,2364,46998156.43752,1,0,2
22,4,0,0,35.97,496.8,2.1,0.973,3172900,9245632512,15821632512,0.890854,1.767,0.06647,0.5143,0.49508,0.23126,0.06837,0.05747,8952000512,34.365,4604000256,4432000000,595000000,2.27,20000000,0.078,6595999744,0.399,0.433,40.377,3928000000,-1010750016,0.032931,0.5286,257037322,255461683,6778399,0.0264,2.11,0.0347,0.00506,0.89303,1623,163360322.559873,0,15.845815,1
13,9,0,0,70.16,98.3,0.8125,1.656,2503890,9604593664,9519335424,13.956635,19.482,0.06475,0.66701,0.14023,0.05006,0.0234,0.04566,488631008,3.552,325920000,68519000,31639000,0.23,107156000,0.783,21898000,2.286,3.711,5.027,159856992,136467248,0,0,136895573,134742206,11791204,0.0861,4.23,0.1414,0.01437,1.19237,1110,4356077.183211,0,305.043478,0
2,4,0,0,4.53,24500,0.16,0.546,228907,155646928,187669536,2.123769,2.186,0.01716,0.42523,0.31036,0.08589,0.01798,0.01926,85840000,2.589,36502000,26641000,1106000,0.03,2507000,0.074,37566000,0.633,0.812,2.133,33052000,9896750,0.105727,16,34359146,30066298,1419754,0.0413,5.56,0.0458,0.10317,0.57301,11,17611814.345992,0,151,2
9,1,1,0,77.52,107,1.375,0.97,3643476,15017398272,19836098560,3.347006,1.247,0.08668,0.18574,0.16043,0.14792,0.05191,0.28959,15910800384,81.24,2955200000,2552499968,1379200000,6.99,3300400128,17.037,7110300160,0.733,0.922,23.161,1916999936,1729062528,0.036265,0.4006,193722889,191473766,30132354,0.1555,8.63,0.1788,0.01187,1.16665,74900,306994523.552524,0,11.090129,2
5,2,0,0,31.96,47.78,5.89,1.305,1026871,2796708096,3273464064,0.850068,0.81,0.09049,0.23357,0.12716,0.09951,0.06426,0.11375,4041884928,44.031,944083008,513959008,365756000,3.93,622641984,7.115,1099265024,2.043,11.954,37.597,422752000,370423616,0,0,87506511,85111458,4539140,0.0519,4.49,0.082,0.02713,1.0234,1750,29238104.7424,0,8.132316,2
21,6,1,1,74.05,94.8,53,1.276,3500626,33808420864,41028419584,3.481102,2.055,0.11219,0.41564,0.184,0.1462,0.05766,0.25798,19967000576,43.739,8298999808,3673999872,2240000000,4.88,3736999936,8.185,10716000256,0.832,1.16,21.272,1995000064,1583000064,0.00184,0.0266,456562037,455228876,7942010,0.0174,2.13,0.023,0.00274,0.87848,53000,503760824.370064,0,15.17418,1
23,6,0,0,22.51,181.83,2.7,0.5,10845331,2356165376,2763683584,1.62024,1.114,-0.02335,0.22774,0.01618,0.18913,-0.00016,-0.04761,2481530880,25.645,565137984,40147000,-57956000,-0.68,800139008,8.189,1364292992,1.532,2.888,13.893,-300752992,-257104000,0,0,104671937,87646022,19618972,0.1874,3.32,0.2173,0.04664,0.80729,1372,98200028.215648,1,0,3
6,9,0,0,30.1,46.45,6.2,2.477,922575,1501973760,1420270720,6.951501,6.548,-0.21659,0.21178,-0.1456,-0.06862,-0.10131,-0.20627,216912992,4.441,45937000,-31583000,-46981000,-0.97,113700000,2.279,31997000,4.277,5.634,4.33,-10909000,-3838875,0,0,49899461,48018251,2107101,0.0422,2.26,0.0438,0.06176,0.85883,800,7389607.3903,1,0,1
16,9,1,0,48.66,65.63677,23.528076,1.128,3811157,16463447040,19615145984,1.58512,3.191,0.12507,0.59778,0.26638,0.17329,0.0385,0.0736,6147899904,17.893,3675099904,1637699968,768899968,2.22,1832700032,5.417,4977299968,0.77,0.983,30.698,1514099968,1328925056,0.006572,0.1441,338336345,319595895,8543419,0.0253,2.25,0.0334,0.00326,1.00874,18000,162137597.498208,0,21.918919,3
