@relation 'train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.NumericToNominal-R1-3,44,46'

@attribute sector {0,1,2,3,4,5,6,7,8,9,10}
@attribute In_SP500 {0,1}
@attribute In_NASDAQ {0,1}
@attribute currentPrice numeric
@attribute allTimeHigh numeric
@attribute allTimeLow numeric
@attribute beta numeric
@attribute averageVolume numeric
@attribute marketCap numeric
@attribute enterpriseValue numeric
@attribute priceToBook numeric
@attribute enterpriseToRevenue numeric
@attribute profitMargins numeric
@attribute grossMargins numeric
@attribute ebitdaMargins numeric
@attribute operatingMargins numeric
@attribute returnOnAssets numeric
@attribute returnOnEquity numeric
@attribute totalRevenue numeric
@attribute revenuePerShare numeric
@attribute grossProfits numeric
@attribute ebitda numeric
@attribute netIncomeToCommon numeric
@attribute trailingEps numeric
@attribute totalCash numeric
@attribute totalCashPerShare numeric
@attribute totalDebt numeric
@attribute quickRatio numeric
@attribute currentRatio numeric
@attribute bookValue numeric
@attribute operatingCashflow numeric
@attribute freeCashflow numeric
@attribute trailingAnnualDividendYield numeric
@attribute payoutRatio numeric
@attribute sharesOutstanding numeric
@attribute floatShares numeric
@attribute sharesShort numeric
@attribute sharesPercentSharesOut numeric
@attribute shortRatio numeric
@attribute shortPercentOfFloat numeric
@attribute heldPercentInsiders numeric
@attribute heldPercentInstitutions numeric
@attribute fullTimeEmployees numeric
@attribute is_Insolvent {0}
@attribute _debtToEquity numeric
@attribute has_benefits {0,1}
@attribute _PER numeric
@attribute target {0,1,2,3,4}

@data
0,0,0,129.81,136.5,1.362022,1.02,1608922,105430253568,108937453568,10.981304,9.163,0.30366,0.59196,0.5689,0.52012,0.19689,0.38916,11888199680,14.757,7037300224,6763200000,3609999872,4.45,4010299904,4.938,7448900096,4.242,5.269,11.821,4498100224,3361499904,0.019674,0.5936,812189011,101686064,9156870,0.0113,5.06,0.0967,0.89897,0.09235,16133,0,630141282.125032,0,29.170787,4
3,0,0,19.74,37.99,12.91,0.344,6474618,10843330560,25123631104,3.539537,0.309,0.01201,0.27233,0.0448,0.02033,0.0439,0.32044,81370603520,141.761,22159599616,3645199872,977299968,1.69,286800000,0.522,14567100416,0.149,0.814,5.577,2588499968,1275512448,0.029641,0.3373,549307530,389255795,23375079,0.0418,3.91,0.0584,0.14939,0.73627,280000,0,2611995771.203156,0,11.680473,2
6,0,0,14.74,37.21,7.2,0.838,431404,635897408,527287392,3.722222,2.846,-0.12827,0.79445,-0.12235,-0.14403,-0.07589,-0.14184,185262000,4.392,147182000,-22667000,-23764000,-0.57,145544000,3.374,36934000,6.881,8.382,3.96,-3258000,-5907250,0,0,43140936,39242290,2406382,0.0558,6.07,0.0573,0.02959,0.95908,349,0,9326767.676768,1,0,1
2,0,0,169.57,189.51,2.875,0.869,232181,11199144960,19577843712,1.994965,0.64,0.03129,0.1658,0.04918,0.04544,0.04923,0.18087,30577500160,458.896,5069599744,1503699968,956800000,14.36,155300000,2.351,8516299776,0.171,0.9,84.999,961100032,387775008,0.029486,0.3299,66044372,17803581,1552406,0.0235,6.98,0.0883,0.211,0.77696,28400,0,100192940.811068,0,11.808496,2
6,0,0,7.81,56,1.16,-1.374,2004507,1243563264,1063990976,8.726257,11.326,-1.38243,-0.80884,-1.48932,-6.06495,-0.38898,-1.71409,93946000,0.605,-75987000,-139916000,-129874000,-0.8,208480992,1.31,21711000,2.404,2.558,0.895,-199176992,-147686368,0,0,159227061,65600880,15848243,0.0995,6.46,0.1346,0.15788,0.87162,287,0,24258100.558659,1,0,0
5,1,0,153.02,166.9,1.074084,0.73,505331,23928719360,23717720064,1.672405,2.032,0.15593,0.20845,0.20956,0.26755,0.03902,0.13443,11672000512,74.677,2432999936,2446000128,1820000000,11.52,1095000064,7.002,884000000,0.848,1.052,91.497,2604999936,1503750016,0.022194,0.2914,156376422,153378686,1635547,0.0105,3.89,0.0122,0.01586,0.70388,5624,0,9661518.956906,0,13.282986,2
10,0,0,46.5,47.33,2.875,0.59,1052257,9364874240,15266073600,2.016129,4.748,0.15265,0.4601,0.41192,0.24771,0.03683,0.1076,3215200000,15.984,1479299968,1324400000,490800000,2.43,500000,0.002,5901700096,0.346,0.775,23.064,831200000,-309075008,0.036227,0.8655,201395142,200239134,4837056,0.024,4.3,0.0313,0.00394,0.75082,2291,0,255883632.327437,0,19.135802,3
6,0,0,15.08,77.4,1.356239,1.212,1230362,1174894720,2937015808,1.131283,1.811,-0.3087,0.5752,0.18856,0.07862,0.02426,-0.38916,1621737984,21.195,932819968,305803008,-500627008,-6.54,253608000,3.255,2015729024,0.579,1.229,13.33,70887000,45354876,0,0,77910790,59262842,6235936,0.08,5.4,0.1302,0.13944,0.94372,4396,0,151217481.170293,1,0,4
7,0,0,183.74,203.89,67.28,1.362,284493,10573657088,10304056320,5.604393,4.626,0.15796,0.4173,0.19028,0.1762,0.09254,0.17935,2227200000,38.835,929400000,423800000,301700000,5.16,332200000,5.773,60300000,1.871,2.927,32.785,349500000,204862496,0.004799,0.1686,57546840,48779579,509710,0.0089,1.63,0.0104,0.14464,0.7799,7500,0,1839255.757206,0,35.608527,1
3,0,0,151.33,155.39,1.09375,0.862,377117,5498005504,6015577088,3.795015,3.364,0.13257,0.56862,0.22237,0.16914,0.07867,0.16603,1788290048,48.221,1016860032,397670016,232676992,6.07,199600992,5.551,774000000,0.681,0.819,39.876,337899008,263836752,0,0,36331234,35125854,859422,0.0237,2.27,0.0333,0.02502,0.9788,4703,0,19410171.531748,0,24.930807,0
