@relation 'train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48-weka.filters.unsupervised.attribute.Remove-R3-9,12,14-19,21,25-27,29-31,36-46'

@attribute numberOfAnalystOpinions numeric
@attribute sector {0,1,2,3,4,5,6,7,8,9,10}
@attribute marketCap numeric
@attribute enterpriseValue numeric
@attribute enterpriseToRevenue numeric
@attribute totalRevenue numeric
@attribute grossProfits numeric
@attribute ebitda numeric
@attribute netIncomeToCommon numeric
@attribute totalDebt numeric
@attribute operatingCashflow numeric
@attribute freeCashflow numeric
@attribute trailingAnnualDividendYield numeric
@attribute payoutRatio numeric
@attribute _PER numeric
@attribute target {0,1,2,3,4}

@data
21,6,33808420864,41028419584,2.055,19967000576,8298999808,3673999872,2240000000,10716000256,1995000064,1583000064,0.00184,0.0266,15.17418,1
23,6,2356165376,2763683584,1.114,2481530880,565137984,40147000,-57956000,1364292992,-300752992,-257104000,0,0,0,3
6,9,1501973760,1420270720,6.548,216912992,45937000,-31583000,-46981000,31997000,-10909000,-3838875,0,0,0,1
16,9,16463447040,19615145984,3.191,6147899904,3675099904,1637699968,768899968,4977299968,1514099968,1328925056,0.006572,0.1441,21.918919,3
22,5,106932723712,126860722176,2.207,57486000128,15809000448,11420000256,9198000128,21572999168,14000000000,12818124800,0.013794,0.1634,11.846731,3
8,0,12755382272,12579355648,19.498,645169024,546702016,517396000,274043008,6688000,461870016,-594125,0.002903,0.2566,28.410557,2
4,4,854133568,1002492736,4.179,239904000,182884000,182075008,39645000,106000000,163928000,43447124,0.098194,1.9954,20.293578,2
2,2,2169716224,3719378176,0.79,4708434944,941934016,421343008,297887008,1580352000,-11719000,-148554880,0,0,7.559871,4
10,5,1765850880,1035677888,0.83,1248525952,328935008,161392992,74026000,22389000,-1907550976,-621227136,0,0,24.046875,2
23,8,10941719552,14809502720,9.432,1570124032,964382016,886972992,155651008,3828363008,792796992,701680384,0.040844,2.9091,71.608392,3
16,9,17823928320,20550725632,4.325,4752099840,3040100096,1165500032,808499968,3881700096,1480300032,1225512448,0,0,22.989286,2
4,6,845391168,752302272,48.8,15416000,-37390000,-43243000,-54252000,4999000,-60191000,-35017000,0,0,0,1
9,6,1935335936,1962296832,101.558,19322000,13389000,-136866000,-151588992,200383008,-116055000,-71345000,0,0,0,1
9,6,561012544,391509568,3.206,122122000,-70926000,-69262000,-60164000,26964000,-64941000,-47599124,0,0,0,0
5,3,372017440,2355708416,1.265,1862467968,404495008,261888992,-223887008,2037774976,155072000,179756368,0.165217,3.3333,0,4
9,6,737509888,287409920,1.532,187638000,176416992,-108806000,-94995000,3003000,-63058000,-143568624,0,0,0,1
9,6,4506933760,5529744896,1.029,5374021120,1057222976,400048000,211254000,1228701056,279640000,194119632,0,0,22.039683,1
