@relation 'train_std_bal_main_finantial_metrics-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,49,45,47-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NominalToBinary-R3,4,46-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.Remove-R2-3,45'

@attribute numberOfAnalystOpinions numeric
@attribute currentPrice numeric
@attribute allTimeHigh numeric
@attribute allTimeLow numeric
@attribute beta numeric
@attribute averageVolume numeric
@attribute marketCap numeric
@attribute enterpriseValue numeric
@attribute priceToBook numeric
@attribute enterpriseToRevenue numeric
@attribute profitMargins numeric
@attribute grossMargins numeric
@attribute ebitdaMargins numeric
@attribute operatingMargins numeric
@attribute returnOnAssets numeric
@attribute returnOnEquity numeric
@attribute totalRevenue numeric
@attribute revenuePerShare numeric
@attribute grossProfits numeric
@attribute ebitda numeric
@attribute netIncomeToCommon numeric
@attribute trailingEps numeric
@attribute totalCash numeric
@attribute totalCashPerShare numeric
@attribute totalDebt numeric
@attribute quickRatio numeric
@attribute currentRatio numeric
@attribute bookValue numeric
@attribute operatingCashflow numeric
@attribute freeCashflow numeric
@attribute trailingAnnualDividendYield numeric
@attribute payoutRatio numeric
@attribute sharesOutstanding numeric
@attribute floatShares numeric
@attribute sharesShort numeric
@attribute sharesPercentSharesOut numeric
@attribute shortRatio numeric
@attribute shortPercentOfFloat numeric
@attribute heldPercentInsiders numeric
@attribute heldPercentInstitutions numeric
@attribute fullTimeEmployees numeric
@attribute _debtToEquity numeric
@attribute _PER numeric
@attribute target {0,1,2,3,4}

@data
0.097844,-0.176367,-0.094015,-0.609558,1.019761,-0.306364,-0.166155,-0.170047,-0.381952,-0.039751,-0.014151,0.466585,-0.145208,0.052297,0.090666,0.033137,-0.118578,0.777772,0.014528,-0.17437,-0.12298,0.646555,-0.145349,-0.103441,-0.14925,-0.379461,-0.325783,1.304958,-0.178777,-0.132294,-0.62358,-0.126837,-0.286316,-0.267956,-0.368567,0.617629,-0.191018,0.138292,-0.451257,1.261245,-0.093225,-0.333739,-0.212533,2
1.317934,-0.35361,-0.135745,-0.333426,-1.268277,-0.203992,-0.138363,-0.16376,-0.325015,-0.039208,0.232395,1.217876,0.149106,0.05295,0.497029,0.077706,-0.251214,-0.331641,-0.145558,-0.174712,-0.096357,-0.003136,-0.056809,-0.020345,-0.393129,0.269629,0.58872,0.012248,-0.166037,-0.121372,-0.664803,-0.129392,-0.141342,-0.134828,-0.249741,-0.440909,-0.314702,-0.474772,-0.468714,0.472,-0.248873,-0.354815,-0.164907,1
0.707889,0.076304,0.014622,-0.645943,0.633526,-0.219849,-0.12373,-0.122416,-0.226043,-0.039684,-0.023239,-0.38236,-0.13989,0.052289,0.431878,0.197965,0.047784,0.577321,0.00988,-0.085763,-0.082376,0.385227,-0.157454,-0.262624,-0.081467,-0.260949,-0.233504,0.130993,-0.072115,-0.020339,-0.664803,-0.129392,-0.223421,-0.206894,-0.262741,0.037954,-0.302733,0.014866,-0.303267,0.614612,0.062903,-0.244464,-0.143646,2
-0.146174,-0.015762,-0.222335,-0.711181,-0.506088,-0.184374,0.070818,0.073737,-0.298086,-0.038981,0.13852,-0.069737,0.010826,0.052634,-0.144591,0.030002,0.046987,-0.236361,0.105171,0.087739,0.154687,0.123898,0.535926,0.343999,0.557681,-0.237338,-0.358506,0.373063,0.045484,0.644824,0.244205,-0.056693,0.204047,0.224821,-0.233908,-0.89069,-0.530152,-0.930501,0.396627,-1.702076,-0.13293,-0.104588,-0.101136,4
0.463871,-0.541903,-0.43507,0.012313,0.388274,1.715266,-0.049779,0.016162,-0.354286,-0.039598,-0.038094,-0.436493,-0.09494,0.052243,-0.110348,-0.0435,0.445434,-0.265352,0.307837,0.225769,-0.028826,-0.310439,0.128218,-0.183704,1.136591,-0.373331,-0.416972,-0.226615,0.033077,-0.284905,0.373255,-0.037969,0.994551,1.024813,1.519972,-0.460296,-0.96105,-0.562934,-0.503452,-0.149551,0.447217,0.793543,-0.080578,2
-0.390192,-0.573813,-0.406979,-0.277006,0.148896,0.4119,-0.164814,-0.18723,-0.031122,-0.039092,-0.144194,0.551527,-0.27002,0.052062,-0.463456,-0.30606,-0.295498,-0.408151,-0.256347,-0.272519,-0.194221,-0.431425,-0.136631,-0.235458,-0.419274,0.232395,0.084784,-0.516983,-0.236981,-0.199878,-0.664803,-0.129392,-0.119246,-0.11712,0.37274,0.584671,-0.394498,0.279351,0.193606,-0.648059,-0.259069,-0.305398,-0.282303,1
-0.756219,-0.215478,-0.268221,-0.480986,-0.550145,-0.33905,-0.163524,-0.184589,-0.239956,-0.038689,-0.159401,-0.499387,-0.189766,0.05241,-0.367285,-0.196949,-0.301158,-0.335417,-0.283963,-0.267808,-0.194411,-0.491917,-0.155447,-0.222201,-0.415118,0.037373,0.144122,-0.106702,-0.238845,-0.195089,-0.664803,-0.129392,-0.274326,-0.261956,-0.357454,0.346209,1.03385,0.103028,-0.38701,1.143825,-0.259417,-0.36242,-0.282303,2
-0.63421,-0.152031,-0.208624,-0.663266,-0.516368,-0.352756,-0.159502,-0.176719,-0.209288,-0.039035,-0.085996,-0.314527,0.008429,0.052243,-0.106012,-0.130665,-0.282366,-0.246486,-0.263938,-0.236365,-0.187507,-0.39029,-0.147453,-0.164964,-0.350842,-0.148794,-0.253792,-0.115858,-0.21538,-0.212759,-0.664803,-0.129392,-0.271826,-0.253231,-0.444091,-0.343973,0.104227,-0.535807,-0.48307,0.904742,-0.224133,-0.326136,3.08853,2
-0.268183,-0.310401,-0.071251,4.00766,-0.655882,-0.393326,-0.178829,-0.195358,-0.342685,-0.037869,-0.231782,0.454988,0.420306,0.052404,-0.249768,-0.210283,-0.316129,-0.329822,-0.290108,-0.261327,-0.193225,-0.63105,-0.163039,-0.264367,-0.35956,-0.454155,-0.123336,0.215785,-0.243156,-0.239102,1.588034,0.058684,-0.317914,-0.299666,-0.546486,-0.780183,-0.546111,-0.728407,-0.488919,-0.146905,-0.280891,-0.348461,-0.282303,2
-1.000237,-0.663272,-0.461847,-0.617696,0.430862,0.153182,-0.178391,-0.202533,-0.233319,-0.029174,-0.095818,-0.510857,20.087476,0.018909,1.905459,-1.014876,-0.321995,-0.448924,-0.299364,-0.254124,-0.217684,-0.459251,-0.118493,-0.226705,-0.42926,1.612534,1.42447,-0.549343,-0.274447,-0.191479,-0.664803,-0.129392,0.009036,-0.080707,2.569092,2.913066,1.939535,3.529134,1.148361,-1.306489,-0.282044,-0.324121,-0.282303,1
