@relation 'train_processed_std_bal_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48'

@attribute numberOfAnalystOpinions numeric
@attribute sector {0,1,2,3,4,5,6,7,8,9,10}
@attribute In_SP500 {0,1}
@attribute In_NASDAQ {0,1}
@attribute currentPrice numeric
@attribute allTimeHigh numeric
@attribute allTimeLow numeric
@attribute beta numeric
@attribute averageVolume numeric
@attribute marketCap numeric
@attribute enterpriseValue numeric
@attribute priceToBook numeric
@attribute enterpriseToRevenue numeric
@attribute profitMargins numeric
@attribute grossMargins numeric
@attribute ebitdaMargins numeric
@attribute operatingMargins numeric
@attribute returnOnAssets numeric
@attribute returnOnEquity numeric
@attribute totalRevenue numeric
@attribute revenuePerShare numeric
@attribute grossProfits numeric
@attribute ebitda numeric
@attribute netIncomeToCommon numeric
@attribute trailingEps numeric
@attribute totalCash numeric
@attribute totalCashPerShare numeric
@attribute totalDebt numeric
@attribute quickRatio numeric
@attribute currentRatio numeric
@attribute bookValue numeric
@attribute operatingCashflow numeric
@attribute freeCashflow numeric
@attribute trailingAnnualDividendYield numeric
@attribute payoutRatio numeric
@attribute sharesOutstanding numeric
@attribute floatShares numeric
@attribute sharesShort numeric
@attribute sharesPercentSharesOut numeric
@attribute shortRatio numeric
@attribute shortPercentOfFloat numeric
@attribute heldPercentInsiders numeric
@attribute heldPercentInstitutions numeric
@attribute fullTimeEmployees numeric
@attribute _debtToEquity numeric
@attribute has_benefits {0,1}
@attribute _PER numeric
@attribute target {0,1,2,3,4}

@data
0.677729,5,1,0,1.361705,1.020429,0.663442,-1.376538,0.281213,1.7132,1.596655,0.115867,1.416932,1.506304,2.306012,2.232295,0.177038,-0.244201,0.14908,0.509334,-0.22824,0.355411,0.686258,1.401629,1.390404,1.075224,0.441678,0.583642,-4.180819,-0.724009,1.369843,0.804618,0.994979,0.168516,0.81235,0.973995,1.049213,-0.178253,-1.679079,-0.989921,-1.929612,-0.536821,0.017178,-0.102599,-0.154687,0,0.436045,3
-1.279077,7,0,0,-1.576234,-0.37557,-1.324725,0.532348,-1.551105,-2.325226,-1.840712,-1.707569,-1.250534,-0.623298,-0.877538,-0.460497,0.093595,-0.355728,-1.270679,-0.84489,0.194071,-0.375536,-0.409153,-0.441652,-2.208397,-1.928712,-1.148106,-1.112131,0.093953,0.54555,-0.239624,-0.398228,-0.335067,-0.690137,-0.584779,-1.543151,-1.565623,-1.757596,-0.41014,-0.55073,-0.703868,-0.118845,-0.551662,-0.553875,-1.044157,1,-1.592794,3
-0.545274,2,0,0,-0.193976,0.546796,-1.23919,0.279918,-0.003164,-1.216413,-0.854818,-0.497597,-1.393511,-0.088895,-0.450034,-0.535325,0.091716,-0.182776,0.041615,0.154415,1.439432,-0.258424,-0.372321,-0.339071,-0.178741,-1.249342,-0.544283,0.039956,-2.125518,-1.631484,0.216422,-0.349379,-0.341342,0.482675,0.19813,-1.473864,-1.466518,-0.013106,2.170046,-0.47805,2.307256,-0.501764,1.613741,1.490295,-0.079858,0,0.260264,4
-0.545274,1,0,0,-0.050807,-0.402827,0.919969,-0.125444,-0.223219,0.150594,0.389825,-0.338657,-0.107361,0.369161,1.34088,1.06816,0.12169,0.384485,0.622387,0.429627,0.234602,0.106414,0.170801,0.091304,0.501601,0.786963,0.705947,0.932307,-0.617658,-0.897966,0.234901,0.074864,0.393107,3.100988,-0.050347,0.297898,-0.087232,-0.548783,-1.25008,-0.873959,-0.869064,3.675087,-2.934768,0.591754,0.856109,0,-0.214664,3
-1.034476,10,0,0,-0.376001,-1.011259,0.944845,-0.486585,-0.238108,0.006525,0.472708,-0.440846,1.178001,0.029149,0.839179,2.37429,0.117981,-0.353888,-0.355236,-0.360062,-0.51697,-0.284789,-0.162373,-0.325041,-0.445951,-0.102395,-0.328416,1.009212,-0.600815,-0.298363,-0.028489,-0.18686,-0.137258,1.802806,1.967104,-0.314256,0.083393,-0.196947,-0.262502,0.13397,0.272679,-0.442498,0.090688,-2.288076,1.086434,0,0.814498,0
-0.545274,7,0,0,0.061355,-0.598971,0.583623,0.856637,-0.74373,-0.800185,-0.988,0.931983,-0.803848,0.11301,-1.004145,-0.30386,0.105452,1.944168,1.794009,-0.364546,0.460861,-0.359626,-0.381951,-0.306149,0.092259,-0.386245,0.381152,-1.155466,-0.27067,-0.166581,-0.731091,-0.364598,-0.295718,-0.690137,-0.584779,-1.163143,-1.046262,-0.097885,1.583975,1.839808,1.325178,-0.511508,1.400649,-0.450746,-0.812538,0,0.135926,1
-0.545274,2,0,0,0.167856,-0.39195,0.483147,0.810574,-0.125358,-0.009149,0.026096,-1.151949,-0.950724,0.187887,-0.789119,-0.091847,0.107868,0.761951,0.214199,0.663989,0.939042,-0.150631,-0.091425,0.065547,1.070132,-0.553037,-0.744306,0.325775,-1.159316,1.839421,1.166529,-0.260441,-0.12517,-0.690137,-0.584779,-0.163442,-0.065151,-0.264347,-0.136867,-0.157661,-0.082474,-0.285292,0.582822,-0.221863,-0.313343,0,-0.300446,1
-0.422974,9,0,0,-1.459317,0.478576,-1.074819,-1.347057,-2.086432,-2.056482,-2.209411,-0.993175,-0.377527,-0.50879,0.993903,-0.396736,0.068234,-0.734326,-0.549591,-1.770891,-1.175095,-0.381876,-0.417629,-0.36844,-0.679048,-0.950816,-0.320979,-1.260826,-1.218475,-0.440342,-0.724636,-0.408178,-0.353724,-0.690137,-0.584779,-1.290736,-1.230551,-1.448379,-0.304656,1.45071,-0.348138,0.462766,-0.724496,-1.05375,-0.927926,1,-1.592794,0
-0.422974,7,0,0,0.541033,0.093024,-1.174196,0.222799,-1.267074,-0.465823,-0.501983,-0.327736,-0.241313,0.446651,-0.810329,0.109184,0.110332,0.484973,0.590473,-0.297762,0.601538,-0.346961,-0.339591,-0.212279,1.41125,-3.468116,-1.634437,-0.276755,0.079392,-0.048628,0.864015,-0.266756,-0.286466,-0.354206,-0.454795,-1.210157,-1.100819,-1.438676,-0.41014,0.0287,-0.243255,-0.40282,0.844655,-0.113384,-0.781511,0,-0.15254,1
0.677729,7,1,0,0.628424,0.190173,0.09498,0.313084,0.980952,1.523262,1.492902,0.381205,0.165889,0.153329,-0.309985,-0.050517,0.106708,0.165676,0.085802,1.256685,0.288177,0.596579,0.550945,0.581539,-0.000602,0.457514,-0.843423,1.110545,-0.702579,-0.80136,0.351815,0.564075,0.905659,-0.05468,0.208625,1.498519,1.562752,1.261462,-0.229008,0.792107,-0.235347,-0.558418,0.10126,1.597515,0.979111,0,0.636784,2
