@relation 'train_std_bal_main_finantial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48'

@attribute numberOfAnalystOpinions numeric
@attribute sector {0,1,2,3,4,5,6,7,8,9,10}
@attribute In_SP500 {0,1}
@attribute In_NASDAQ {0,1}
@attribute currentPrice numeric
@attribute allTimeHigh numeric
@attribute allTimeLow numeric
@attribute beta numeric
@attribute averageVolume numeric
@attribute marketCap numeric
@attribute enterpriseValue numeric
@attribute priceToBook numeric
@attribute enterpriseToRevenue numeric
@attribute profitMargins numeric
@attribute grossMargins numeric
@attribute ebitdaMargins numeric
@attribute operatingMargins numeric
@attribute returnOnAssets numeric
@attribute returnOnEquity numeric
@attribute totalRevenue numeric
@attribute revenuePerShare numeric
@attribute grossProfits numeric
@attribute ebitda numeric
@attribute netIncomeToCommon numeric
@attribute trailingEps numeric
@attribute totalCash numeric
@attribute totalCashPerShare numeric
@attribute totalDebt numeric
@attribute quickRatio numeric
@attribute currentRatio numeric
@attribute bookValue numeric
@attribute operatingCashflow numeric
@attribute freeCashflow numeric
@attribute trailingAnnualDividendYield numeric
@attribute payoutRatio numeric
@attribute sharesOutstanding numeric
@attribute floatShares numeric
@attribute sharesShort numeric
@attribute sharesPercentSharesOut numeric
@attribute shortRatio numeric
@attribute shortPercentOfFloat numeric
@attribute heldPercentInsiders numeric
@attribute heldPercentInstitutions numeric
@attribute fullTimeEmployees numeric
@attribute _debtToEquity numeric
@attribute has_benefits {0,1}
@attribute _PER numeric
@attribute target {0,1,2,3,4}

@data
0.506213,2,1,0,-0.305681,-0.151285,-0.505967,0.69686,0.105908,-0.133874,-0.0157,-0.230966,-0.035358,-0.029854,0.078197,-0.085701,0.046638,-0.092721,0.291162,0.12107,0.015713,0.194354,0.004012,-0.098627,-0.099709,0.028935,0.032878,1.756102,-0.239317,-0.367968,-0.321365,0.066249,-0.020565,-0.650203,-0.134552,-0.03251,-0.081194,0.659281,0.630645,0.314739,0.877205,1.622857,-1.007806,0.46506,2.004505,0,-0.120385,2
-0.430113,0,0,0,-0.348473,0.18435,-0.526006,0.064287,1.195296,-0.111885,-0.127957,-0.113339,-0.033177,0.139111,0.141117,0.34046,0.047277,0.524085,0.053181,-0.252901,-0.36657,-0.218618,-0.187312,-0.149944,-0.199126,-0.150088,-0.31257,-0.371792,-0.384909,-0.274099,-0.434366,-0.180592,-0.187876,-0.650203,-0.134552,0.347864,0.37017,0.589517,-0.443334,-1.131913,-0.60732,-0.461999,-0.329701,-0.236381,-0.246189,0,0.059739,1
-1.132358,7,0,0,-0.384112,-0.231152,-0.144858,-0.48261,-0.359964,-0.170254,-0.187559,-0.389394,-0.036004,-0.085557,-0.662258,-0.274821,0.046445,-0.145155,-0.153897,-0.180816,0.47592,-0.204628,-0.235699,-0.179182,-0.239449,-0.158255,-0.297602,-0.389545,-0.144253,-0.295873,0.112714,-0.220353,-0.176514,0.401413,-0.094198,-0.279131,-0.26396,-0.524149,-0.783625,-0.879677,-0.809572,-0.181355,-0.017789,-0.194525,-0.315162,1,-0.208271,2
2.96407,1,0,0,2.294897,0.734043,6.610676,0.699716,-0.199871,0.443731,0.411179,0.885301,-0.033604,-0.000632,-0.323536,-0.124728,0.046671,0.793192,0.151645,0.106857,0.165838,0.049923,-0.045628,-0.058602,0.085916,0.437658,1.158361,-0.231575,-0.205459,-0.306276,0.047148,0.103476,-0.049966,-0.650203,-0.134552,-0.100689,-0.132,-0.212608,-0.486608,0.18862,-0.499453,1.566293,-1.0845,-0.168823,-0.257042,0,0.551715,2
-0.664195,2,0,0,0.255081,-0.03616,-0.39364,-0.449767,-0.369473,-0.12227,-0.102045,-0.286613,-0.035847,-0.029956,-0.783754,-0.235911,0.046516,0.215625,0.217149,0.43839,2.722035,0.038126,-0.089977,-0.036217,0.771408,-0.146281,-0.215882,0.182194,-0.47737,-0.444902,0.961442,-0.119944,-0.12619,0.61701,-0.083071,-0.244137,-0.277265,-0.480739,-0.69511,0.975006,0.085728,1.285737,-0.677582,0.08213,-0.237668,0,-0.148132,2
0.740295,6,1,0,0.983311,0.452419,1.431005,-0.84816,-0.158549,0.177864,0.142784,-0.299134,-0.035922,-0.035011,-0.472192,-0.234329,0.046538,0.184688,0.103901,4.205546,5.22681,2.715979,0.74841,0.617404,1.412405,2.874421,6.541989,1.66024,-0.178372,-0.31305,2.857138,0.531138,2.318234,0.174313,-0.090328,-0.080773,-0.059506,-0.399665,-0.87804,-1.024342,-0.913394,-0.536141,0.174136,1.000678,-0.193458,0,-0.132943,2
-0.898276,2,0,0,-0.218431,-0.203823,1.777476,0.299896,-0.348408,-0.162988,-0.177623,-0.331761,-0.035792,-0.028476,-0.607116,-0.078239,0.046708,0.256116,-0.016278,-0.207831,0.163901,-0.214773,-0.197169,-0.162215,-0.046871,-0.129563,0.075826,-0.327544,-0.197385,-0.211923,0.213662,-0.202454,-0.167599,0.187097,-0.071898,-0.271998,-0.2583,-0.429327,0.156599,0.48166,0.23809,-0.36819,0.765817,-0.108124,-0.298119,0,-0.103956,2
-0.664195,9,0,0,-0.4152,-0.244513,-0.318228,0.599761,-0.301447,-0.170303,-0.186745,-0.374253,-0.035329,-0.692269,1.034027,0.066124,0.046333,-0.376273,-0.461976,-0.280186,-0.363216,-0.244929,-0.240379,-0.194735,-0.313838,-0.145643,-0.231737,-0.36393,-0.343498,-0.45724,-0.373476,-0.21847,-0.195204,-0.650203,-0.134552,-0.223603,-0.227148,-0.244797,0.294289,1.53512,0.042581,0.221814,0.901985,-0.256388,-0.266453,1,-0.208271,1
0.272132,4,0,0,1.110954,8.832888,-0.591398,0.475531,-0.235651,-0.141333,-0.16073,0.787449,-0.031526,0.325027,-0.192258,0.061127,0.047014,0.289442,0.816826,-0.277182,-0.212413,-0.249595,-0.237453,-0.16269,0.201324,-0.087178,1.71162,-0.369369,-0.055178,-0.035072,-0.169035,-0.220353,-0.182549,-0.650203,-0.134552,-0.293983,-0.278282,-0.358435,3.209377,-0.553252,2.040824,-0.157947,-0.288047,-0.258121,-0.300647,0,0.106046,1
-0.430113,0,0,0,-0.381592,-0.206151,-0.374128,0.638315,-0.014945,-0.16358,-0.163772,0.095861,-0.035738,-0.203074,-0.730222,-0.128775,0.046513,-0.005711,-1.847572,-0.148669,-0.122598,-0.195971,-0.17816,-0.239405,-0.417426,-0.116045,-0.171379,-0.097819,-0.316411,-0.257164,-0.483169,-0.203284,-0.186676,1.967089,0.7324,-0.158259,-0.147044,0.108349,0.622777,-0.011685,0.688437,-0.510035,0.60352,-0.189315,1.920223,1,-0.208271,2
-0.781236,6,0,0,-0.337378,-0.19376,0.006622,-0.619691,-0.341167,-0.167259,-0.183153,-0.319891,-0.0354,0.234026,0.22734,0.227794,0.047109,0.487006,0.221743,-0.270397,-0.284519,-0.237715,-0.223031,-0.158251,-0.04131,-0.139614,-0.098941,-0.353974,0.035198,0.134037,-0.228419,-0.214941,-0.189835,-0.650203,-0.134552,-0.264206,-0.258798,-0.361587,0.524428,1.41642,1.211594,1.539317,-1.011742,-0.237448,-0.285835,0,-0.162912,2
-0.898276,9,0,0,-0.235906,-0.204043,-0.5471,-0.191312,-0.301388,-0.149765,-0.163976,-0.185755,-0.035009,0.168043,0.239979,0.060528,0.046679,0.421038,0.237185,-0.24718,-0.277093,-0.20874,-0.207324,-0.14098,-0.062862,-0.143282,-0.238666,-0.333492,-0.324224,-0.305066,-0.277221,-0.197297,-0.147703,-0.650203,-0.134552,-0.206002,-0.188557,-0.411695,-0.592826,-0.475356,-0.53451,-0.449903,0.591549,-0.224421,-0.261175,0,-0.10307,0
0.272132,6,1,0,-0.340182,-0.158153,-0.391178,-0.866723,0.403661,-0.119327,-0.100726,-0.309931,-0.035488,-0.107444,-0.107342,-0.005866,0.046845,-0.03335,-0.208353,-0.029085,-0.242758,-0.011111,-0.033761,-0.214912,-0.260305,-0.012787,-0.174488,0.264637,-0.207021,-0.107167,-0.263713,-0.143188,0.150422,0.846569,0.345598,0.215338,0.242413,0.781282,-0.114846,-0.108129,-0.028881,-0.518128,0.655997,0.198463,0.229871,1,-0.208271,3
0.623254,5,1,0,0.654815,0.094835,0.123694,-1.080913,-0.186943,0.258197,0.251422,-0.194699,-0.03142,0.913885,1.750664,0.859564,0.0484,-0.146747,0.127753,-0.134835,-0.265752,0.117969,0.229623,0.374167,0.491927,0.023222,-0.061634,-0.141309,-0.516958,-0.416112,0.825131,0.263493,0.405142,0.135615,0.025571,0.05802,0.081701,-0.354272,-0.933116,-0.812908,-0.949799,-0.511166,0.074866,-0.216459,-0.278853,0,-0.076303,3
