@relation 'train_proc_std_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48-weka.filters.unsupervised.attribute.RemoveType-Tnominal'

@attribute numberOfAnalystOpinions numeric
@attribute currentPrice numeric
@attribute allTimeHigh numeric
@attribute allTimeLow numeric
@attribute beta numeric
@attribute averageVolume numeric
@attribute marketCap numeric
@attribute enterpriseValue numeric
@attribute priceToBook numeric
@attribute enterpriseToRevenue numeric
@attribute profitMargins numeric
@attribute grossMargins numeric
@attribute ebitdaMargins numeric
@attribute operatingMargins numeric
@attribute returnOnAssets numeric
@attribute returnOnEquity numeric
@attribute totalRevenue numeric
@attribute revenuePerShare numeric
@attribute grossProfits numeric
@attribute ebitda numeric
@attribute netIncomeToCommon numeric
@attribute trailingEps numeric
@attribute totalCash numeric
@attribute totalCashPerShare numeric
@attribute totalDebt numeric
@attribute quickRatio numeric
@attribute currentRatio numeric
@attribute bookValue numeric
@attribute operatingCashflow numeric
@attribute freeCashflow numeric
@attribute trailingAnnualDividendYield numeric
@attribute payoutRatio numeric
@attribute sharesOutstanding numeric
@attribute floatShares numeric
@attribute sharesShort numeric
@attribute sharesPercentSharesOut numeric
@attribute shortRatio numeric
@attribute shortPercentOfFloat numeric
@attribute heldPercentInsiders numeric
@attribute heldPercentInstitutions numeric
@attribute fullTimeEmployees numeric
@attribute _debtToEquity numeric
@attribute _PER numeric
@attribute target {0,1,2,3,4}

@data
-0.422974,-1.107249,-0.666528,-0.143412,0.841897,0.777635,-0.727664,-0.18507,0.990954,-0.926296,-0.341456,-1.050636,-0.293304,0.094538,-0.068701,-3.044909,0.454385,0.362006,-0.267134,-0.258747,-0.556185,-1.088391,0.237421,-0.051943,0.656641,-0.346095,-0.089784,-2.04219,-0.338034,-0.306974,2.169745,3.13566,0.201531,0.248903,0.818002,0.992268,0.28998,1.04826,-0.535515,0.611587,0.144236,1.849837,-1.592794,2
-0.789875,-0.609459,-0.506634,0.522051,-0.781393,-0.838868,-1.075606,-1.031167,-0.774144,-0.28138,0.416562,0.244948,0.617871,0.120614,0.544416,0.301056,-0.755814,-0.352911,-0.349913,-0.362732,-0.297233,-0.06314,-0.215243,0.297454,-0.234761,0.680244,0.771066,0.00479,-0.36657,-0.313925,-0.690137,-0.584779,-0.826577,-0.944269,-0.209057,0.918986,1.466599,1.359649,1.830105,-1.204584,-0.428674,-0.251687,-0.179776,2
-0.912175,-0.025198,-0.637541,-0.684682,-0.228627,-0.378897,-0.13028,-0.189996,0.157527,0.128405,0.305219,0.262048,0.19044,0.101808,0.462327,0.326025,-0.260573,-0.301195,-0.292456,-0.326331,-0.242125,-0.121888,-0.33251,-0.521611,-0.058423,-0.385987,-0.250027,-0.161942,-0.323378,-0.221237,-0.690137,-0.584779,-0.125584,-0.032089,-0.457402,-0.488575,-0.340746,-0.345259,-0.466104,0.598127,-0.204034,0.029503,0.302166,0
0.310828,-0.633424,-0.14911,-0.185916,-1.100155,1.388602,0.404799,0.587781,-0.667217,-0.408508,-0.171389,-0.207877,0.020778,0.109061,-0.103093,-0.394385,0.813833,-0.098329,0.099445,0.075887,-0.478032,-0.660097,0.946936,-0.069742,1.0263,0.093102,0.311406,-0.112535,-0.190922,0.434614,0.945367,2.195849,1.28555,1.354154,1.403843,0.302352,0.175363,0.426866,-0.544857,0.670592,1.119147,1.152026,-1.592794,3
0.677729,1.361705,1.020429,0.663442,-1.376538,0.281213,1.7132,1.596655,0.115867,1.416932,1.506304,2.306012,2.232295,0.177038,-0.244201,0.14908,0.509334,-0.22824,0.355411,0.686258,1.401629,1.390404,1.075224,0.441678,0.583642,-4.180819,-0.724009,1.369843,0.804618,0.994979,0.168516,0.81235,0.973995,1.049213,-0.178253,-1.679079,-0.989921,-1.929612,-0.536821,0.017178,-0.102599,-0.154687,0.436045,3
-1.279077,-1.576234,-0.37557,-1.324725,0.532348,-1.551105,-2.325226,-1.840712,-1.707569,-1.250534,-0.623298,-0.877538,-0.460497,0.093595,-0.355728,-1.270679,-0.84489,0.194071,-0.375536,-0.409153,-0.441652,-2.208397,-1.928712,-1.148106,-1.112131,0.093953,0.54555,-0.239624,-0.398228,-0.335067,-0.690137,-0.584779,-1.543151,-1.565623,-1.757596,-0.41014,-0.55073,-0.703868,-0.118845,-0.551662,-0.553875,-1.044157,-1.592794,3
-0.545274,-0.193976,0.546796,-1.23919,0.279918,-0.003164,-1.216413,-0.854818,-0.497597,-1.393511,-0.088895,-0.450034,-0.535325,0.091716,-0.182776,0.041615,0.154415,1.439432,-0.258424,-0.372321,-0.339071,-0.178741,-1.249342,-0.544283,0.039956,-2.125518,-1.631484,0.216422,-0.349379,-0.341342,0.482675,0.19813,-1.473864,-1.466518,-0.013106,2.170046,-0.47805,2.307256,-0.501764,1.613741,1.490295,-0.079858,0.260264,4
-0.545274,-0.050807,-0.402827,0.919969,-0.125444,-0.223219,0.150594,0.389825,-0.338657,-0.107361,0.369161,1.34088,1.06816,0.12169,0.384485,0.622387,0.429627,0.234602,0.106414,0.170801,0.091304,0.501601,0.786963,0.705947,0.932307,-0.617658,-0.897966,0.234901,0.074864,0.393107,3.100988,-0.050347,0.297898,-0.087232,-0.548783,-1.25008,-0.873959,-0.869064,3.675087,-2.934768,0.591754,0.856109,-0.214664,3
-1.034476,-0.376001,-1.011259,0.944845,-0.486585,-0.238108,0.006525,0.472708,-0.440846,1.178001,0.029149,0.839179,2.37429,0.117981,-0.353888,-0.355236,-0.360062,-0.51697,-0.284789,-0.162373,-0.325041,-0.445951,-0.102395,-0.328416,1.009212,-0.600815,-0.298363,-0.028489,-0.18686,-0.137258,1.802806,1.967104,-0.314256,0.083393,-0.196947,-0.262502,0.13397,0.272679,-0.442498,0.090688,-2.288076,1.086434,0.814498,0
-0.545274,0.061355,-0.598971,0.583623,0.856637,-0.74373,-0.800185,-0.988,0.931983,-0.803848,0.11301,-1.004145,-0.30386,0.105452,1.944168,1.794009,-0.364546,0.460861,-0.359626,-0.381951,-0.306149,0.092259,-0.386245,0.381152,-1.155466,-0.27067,-0.166581,-0.731091,-0.364598,-0.295718,-0.690137,-0.584779,-1.163143,-1.046262,-0.097885,1.583975,1.839808,1.325178,-0.511508,1.400649,-0.450746,-0.812538,0.135926,1
