@relation 'train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.NumericToNominal-R1-3,49,51-weka.filters.unsupervised.attribute.NumericToNominal-R1-3,49,51'

@attribute sector {0,1,2,3,4,5,6,7,8,9,10}
@attribute In_SP500 {0,1}
@attribute In_NASDAQ {0,1}
@attribute currentPrice numeric
@attribute allTimeHigh numeric
@attribute allTimeLow numeric
@attribute 52WeekChange numeric
@attribute fiftyDayAverageChangePercent numeric
@attribute twoHundredDayAverageChangePercent numeric
@attribute beta numeric
@attribute averageVolume numeric
@attribute marketCap numeric
@attribute enterpriseValue numeric
@attribute priceToBook numeric
@attribute enterpriseToRevenue numeric
@attribute profitMargins numeric
@attribute grossMargins numeric
@attribute ebitdaMargins numeric
@attribute operatingMargins numeric
@attribute returnOnAssets numeric
@attribute returnOnEquity numeric
@attribute earningsQuarterlyGrowth numeric
@attribute revenueGrowth numeric
@attribute totalRevenue numeric
@attribute revenuePerShare numeric
@attribute grossProfits numeric
@attribute ebitda numeric
@attribute netIncomeToCommon numeric
@attribute trailingEps numeric
@attribute totalCash numeric
@attribute totalCashPerShare numeric
@attribute totalDebt numeric
@attribute quickRatio numeric
@attribute currentRatio numeric
@attribute bookValue numeric
@attribute operatingCashflow numeric
@attribute freeCashflow numeric
@attribute trailingAnnualDividendYield numeric
@attribute payoutRatio numeric
@attribute sharesOutstanding numeric
@attribute floatShares numeric
@attribute sharesShort numeric
@attribute sharesPercentSharesOut numeric
@attribute shortRatio numeric
@attribute shortPercentOfFloat numeric
@attribute heldPercentInsiders numeric
@attribute heldPercentInstitutions numeric
@attribute fullTimeEmployees numeric
@attribute is_Insolvent {0}
@attribute _debtToEquity numeric
@attribute has_benefits {0,1}
@attribute _PER numeric
@attribute target {0,1,2,3,4}

@data
7,0,0,51.27,90.13,0.8125,-0.232025,-0.118397,-0.279434,0.897,666970,2767310848,4645899776,1.439077,1.919,0.04506,0.14547,0.15118,0.097,0.05356,0.07838,1.119,0.627,2420673024,40.903,352124000,365950016,109076000,1.44,39817000,0.751,1965677056,1.189,1.604,35.627,124133000,21283624,0,0,53975243,45615709,3721046,0.0689,4.71,0.0721,0.10105,0.9572,10000,0,55173802.340921,0,35.604167,0
6,0,0,124.55,127.86,0.039777,0.300783,0.008469,0.119246,0.798,729356,12545153024,15939852288,5.51155,2.812,0.0922,0.4237,0.22631,0.17775,0.0918,0.2472,0.245,0.12,5669100032,56.55,2401999872,1283000064,522400000,5.13,99100000,0.984,2685700096,0.823,1.061,22.598,1105400064,261275008,0.005528,0.1326,100723828,99223043,1742239,0.0173,2.95,0.0195,0.01412,0.96282,28678,0,118846804.849987,0,24.278752,0
0,0,0,13.93,35.833332,0.5,0.887534,0.339475,1.043376,1.312,25083328,9332872192,9610342400,3.998278,9.065,0.09458,0.45042,0.38632,0.32752,0.04943,0.04674,1.071,0.238,1060105984,1.684,477492000,409542016,99710000,0.16,296564992,0.443,573996032,1.865,2.668,3.484,320012992,27466124,0.00164,0.2188,669983628,630983881,34745557,0.0519,1.01,0.058,0.0599,0.6732,1830,0,164752018.36969,0,87.0625,3
7,0,0,40.69,42.06,14.16,0.062957,0.206581,0.220562,1.337,338492,1654611712,1855680768,4.976761,3.241,0.06653,0.41824,0.15593,0.12327,0.06439,0.12059,-0.028,0.089,572606976,14.094,239487008,89285000,38097000,0.93,139947008,3.442,341016000,2.339,3.592,8.176,38476000,12207500,0.008905,0.3925,40663844,26087889,1868276,0.0459,5.99,0.0789,0.29102,0.77252,2284,0,41709393.34638,0,43.752688,2
7,0,0,8.62,17.21,3.405,0.240288,-0.004688,0.058786,1.059,10550281,7069094912,14934689792,1.945824,2.952,0.12306,0.81282,0.52843,0.26571,0.05152,0.17141,0.788,0.068,5058741248,5.804,4111857920,2673178880,640024000,0.71,92947000,0.113,7919697920,0.256,0.458,4.43,1988418944,867968512,0.025791,0.3099,765336105,518392991,23970312,0.0292,2.37,0.0699,0.01649,1.02548,12800,0,1787742194.130926,0,12.140845,2
5,0,0,26.92,78.95,0.66,0.061096,-0.032149,0.041369,0.873,1990818,6205679616,6556210688,1.217494,5.38,0.62582,0.8463,0.83546,0.8381,0.09618,0.14849,-0.058,-0.003,1218572032,4.916,1031283008,1018070976,762611008,3.05,294871008,1.279,645401984,3.352,4.487,22.111,771904000,593795776,0.019578,0.1705,230523015,226825426,5848077,0.0254,2.59,0.0361,0.01671,1.02416,555,0,29189181.131563,0,8.82623,3
2,1,0,48.33,102.76,0.125,-0.269829,-0.044918,-0.082361,1.089,2471014,13152956416,20297955328,2.525606,1.637,0.04485,0.20166,0.15673,0.10665,0.04448,0.09592,0.342,0.128,12396999680,42.86,2500000000,1943000064,581000000,2.02,301000000,1.106,7375000064,0.608,0.999,19.136,777000000,476750016,0.016646,0.396,272148895,270325497,6307431,0.0232,2.68,0.0268,0.00539,0.8881,16000,0,385399250.83612,0,23.925743,2
7,0,0,39.34,151.875,0.54,0.366921,-0.070038,0.001748,0.266,1063051,10469303296,10663304192,4.027437,3.117,0.07308,0.23151,0.12248,0.08444,0.05175,0.09988,0.421,0.101,3420999936,12.907,792000000,419000000,250000000,0.94,278000000,1.045,472000000,1.627,2.114,9.768,336000000,182875008,0.004545,0.1915,266123634,75531210,2489643,0.0094,2.61,0.033,0.716,0.25645,7000,0,48321048.321048,0,41.851064,1
7,0,0,372.85,416.33,12.18,0.302305,-0.034647,0.032274,1.715,193114,11768115200,12566895616,3.760388,7.543,0.15204,0.4443,0.29862,0.23853,0.0498,0.08557,0.116,0.073,1666000000,54.238,740200000,497500000,246600000,7.98,132900000,4.228,981200000,1.261,3.326,99.152,316200000,223337504,0,0,31562598,28361925,362687,0.0115,1.98,0.0117,0.01646,1.02791,5334,0,9895917.379377,0,46.723058,1
9,0,0,23.28,291,2.855,0.010417,0.024233,0.097058,1.602,98823,298035776,329198880,1.126924,0.757,0.00309,0.32083,0.05115,0.09449,0.01518,0.00517,2.355,-0.011,434606016,34.272,139436000,22231000,1341000,0.1,59690000,4.664,90921000,1.262,1.643,20.658,5721000,-9035000,0,0,12802223,11526416,692727,0.0541,5.86,0.0558,0.09091,0.75774,920,0,4401248.910834,0,232.8,0
