@relation 'train_proc_std_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48-weka.filters.unsupervised.attribute.Remove-R3-9,11,14-19,23-27,30-33,36,38,40-41,43-46'

@attribute numberOfAnalystOpinions numeric
@attribute sector {0,1,2,3,4,5,6,7,8,9,10}
@attribute marketCap numeric
@attribute priceToBook numeric
@attribute enterpriseToRevenue numeric
@attribute totalRevenue numeric
@attribute revenuePerShare numeric
@attribute grossProfits numeric
@attribute totalDebt numeric
@attribute quickRatio numeric
@attribute trailingAnnualDividendYield numeric
@attribute payoutRatio numeric
@attribute floatShares numeric
@attribute sharesPercentSharesOut numeric
@attribute heldPercentInsiders numeric
@attribute _PER numeric
@attribute target {0,1,2,3,4}

@data
-1.279077,4,-2.298892,-0.389181,-0.253413,-1.988726,-1.533948,-0.387526,-1.571678,-0.572799,4.274734,5.021075,-1.083414,-0.019269,0.454228,1.502837,2
-0.422974,1,0.552097,0.077675,-0.735757,1.033409,0.928285,-0.048511,0.879879,-0.421857,1.012833,0.08182,0.509035,1.690228,-0.462889,-0.057025,2
-0.912175,2,-0.496591,-1.328932,-1.106505,0.240422,0.454757,-0.282108,0.006973,0.632989,-0.690137,-0.584779,-0.188372,0.275308,-0.309601,-0.229908,2
1.04463,6,1.058419,0.117992,-0.306515,1.164822,0.449642,0.572187,1.071672,-0.291485,-0.603744,-0.532835,1.253974,-1.133837,-0.554601,0.122301,1
1.289231,6,-0.603538,-0.666927,-0.83267,-0.04189,0.042193,-0.326124,0.107966,0.33677,-0.690137,-0.584779,-0.163131,1.930834,-0.113621,-1.592794,3
-0.789875,9,-0.884467,0.827819,0.689294,-1.452263,-1.206814,-0.386431,-1.646703,1.393313,-0.690137,-0.584779,-0.680709,0.008528,0.03826,-1.592794,1
0.433128,9,0.609457,-0.689419,0.07162,0.483129,-0.228115,0.035107,0.713117,-0.37118,-0.381511,-0.31842,0.949699,-0.651162,-0.549378,0.337069,3
1.16693,5,1.776873,-0.718513,-0.245198,1.776776,1.369162,1.444496,1.398832,-1.844275,-0.042373,-0.285321,1.074526,-2.383806,0.157295,-0.019623,3
-0.545274,0,0.450236,0.470413,1.626903,-0.821469,-0.664748,-0.328265,-2.378601,1.125504,-0.553793,-0.132843,-0.416424,0.295032,-0.546264,0.49074,2
-1.034476,4,-1.236646,-0.86398,0.303401,-1.393963,-0.879743,-0.370524,-1.08665,-0.497581,3.921001,1.585922,-1.079732,0.992268,1.127048,0.291745,2
-1.279077,2,-0.654974,-0.660528,-1.127988,0.328757,0.558166,-0.282358,0.176703,-0.706274,-0.690137,-0.584779,-1.110942,0.354794,1.196761,-0.269796,4
1.289231,8,0.354543,-0.250692,1.002888,-0.306773,-0.385219,-0.27975,0.590403,-3.781773,1.22789,2.112689,-0.007565,-0.525027,-0.44752,1.047601,3
-0.422974,6,-1.498913,-0.252013,0.07565,-1.784713,-1.197334,-0.400005,-1.726722,1.466893,-0.690137,-0.584779,-1.241538,1.944523,0.20963,-1.592794,0
-0.422974,6,-0.198866,0.067455,-0.900871,0.405274,0.214882,-0.268967,0.059021,-0.174683,-0.690137,-0.584779,0.315271,0.032743,-0.505079,0.340307,1
1.16693,3,1.499584,1.152078,0.932483,0.610323,-0.823381,0.099168,-1.311854,0.977737,-0.690137,-0.584779,1.616807,-0.855034,2.291275,0.747512,2
-1.279077,1,-0.072598,1.636796,1.733336,-1.345935,-1.658546,-0.371561,-0.322872,0.87195,-0.690137,-0.584779,-0.651998,-0.520414,5.506308,-1.592794,0
-1.156776,2,-1.024222,-0.813842,-1.285089,0.267868,0.179612,-0.30349,0.276319,0.067244,0.371092,-0.23362,0.191406,0.498334,-0.379917,-0.198386,4
-1.279077,1,-1.650531,-0.286242,-0.163902,-0.858862,-0.870174,-0.348383,-0.003855,-1.052905,-0.690137,-0.584779,-0.660653,-1.090124,-0.220803,-1.592794,3
-0.789875,2,-1.51384,-1.717457,-1.201767,-0.080777,1.121867,-0.304421,0.075869,-1.464993,-0.690137,-0.584779,-1.491625,1.727013,0.743225,-1.592794,1
-0.789875,9,-0.700109,-1.059902,-1.127988,0.235102,1.015746,-0.257598,0.080078,0.563715,-0.690137,-0.584779,-0.790639,0.088495,-0.217689,0.10299,3
1.533831,6,1.763483,-0.853315,-1.609673,2.876285,1.96014,5.547599,2.027276,-0.659243,0.844974,0.512173,2.133555,-1.333839,-0.474743,0.365112,1
0.188528,9,-0.315616,0.742447,0.464544,-0.739806,-0.512416,-0.346356,-0.325973,-0.306436,-0.690137,-0.584779,-0.486412,0.496242,-0.470624,2.662827,2
-0.912175,8,-0.963193,-1.135724,-0.180351,-0.525919,-0.604668,-0.360147,0.132492,0.519683,1.2028,0.610825,-0.096426,0.014625,-0.475044,0.302899,1
-0.545274,6,-1.580043,0.972004,0.56072,-1.642619,-2.198134,-0.38677,-0.202567,1.708022,-0.690137,-0.584779,0.889877,1.423067,0.209529,-1.592794,2
-0.545274,5,-0.034769,-1.117816,0.363165,-0.43031,-0.50528,-0.270786,-0.366421,0.353428,0.252245,-0.270749,-0.093494,-0.916156,-0.059478,-0.194435,2
-0.178373,7,0.807737,0.756732,0.329325,0.431832,1.128328,-0.164281,0.286979,-0.497581,-0.122884,-0.01102,-0.597983,-0.192786,-0.544355,0.47407,2
-1.034476,7,-2.342033,-1.522606,-2.428064,-0.930234,-0.301378,-0.367966,-1.755527,1.045368,3.606802,1.271735,-1.065973,-1.06881,0.086376,-1.592794,2
-0.178373,7,0.56115,1.03768,0.335091,0.216259,0.467898,-0.189916,0.337796,0.353428,-0.166308,-0.104081,-0.19196,-0.431453,-0.469117,0.405651,3
-0.912175,4,-0.911634,-1.219102,-1.052043,-0.269949,-0.391597,-0.34653,-0.759428,0.380176,-0.690137,-0.584779,-0.026772,0.494147,-0.437375,0.294628,2
0.188528,6,0.326843,-0.039562,0.522066,-0.155253,-0.696867,-0.20159,0.147056,0.084555,-0.446218,-0.311859,0.608281,-0.397519,-0.420499,0.493907,3
-0.056073,10,0.364888,-0.645908,0.421912,0.392339,0.471427,-0.142199,1.196814,-1.545432,1.109973,0.503744,0.097428,0.035739,-0.557313,0.25824,3
-0.667575,5,-0.616132,0.264575,0.639036,-1.101911,-1.547648,-0.362784,-0.821949,-1.106099,1.281241,0.8961,-0.41222,-0.635962,-0.444306,0.456366,2
-1.156776,0,-0.751186,-1.041923,-0.741288,-0.148644,0.754017,-0.330856,-0.045153,0.116664,-0.350995,6.902696,-1.05847,-1.414175,-0.467912,3.760263,0
-0.545274,1,0.27718,-0.179812,-0.638154,0.693731,-0.014002,-0.149262,0.632016,-0.125105,1.663182,0.900681,1.062103,0.765416,-0.536118,0.348931,2
-0.789875,2,-0.231578,-0.134159,-0.585084,-0.024555,0.464094,-0.311663,-0.999242,0.323928,-0.690137,-0.584779,-0.553573,0.947326,-0.402719,0.286847,3
-0.667575,7,-1.422455,-1.501128,-1.178384,0.008461,-0.12437,-0.305481,0.122426,-0.928532,0.334964,1.416795,0.048831,0.732727,-0.440489,-1.592794,4
-0.912175,9,-1.414152,-0.981721,-1.090738,-1.113916,-1.15943,-0.375357,-1.992159,1.908794,-0.690137,-0.584779,-0.406142,0.245145,1.612929,0.663841,0
0.066227,1,-0.53647,-1.809039,-1.102272,0.190209,0.471889,-0.07219,0.131605,0.893291,-0.690137,-0.584779,-0.394579,0.777253,-0.312414,-1.592794,1
-0.300674,7,0.46064,1.137648,0.128909,0.248521,0.845694,-0.217947,0.088862,-0.178001,-0.106864,-0.016654,-0.578612,-0.941439,-0.418992,0.446592,2
0.800029,3,0.98811,-1.484395,-0.358217,1.302043,-0.104208,0.61679,1.39092,-0.68249,2.299718,0.500432,1.792788,0.150175,2.215535,-1.592794,4
-0.300674,7,0.567631,0.508672,-0.348942,0.598751,1.627742,-0.151627,-0.406409,0.104109,0.721201,0.628907,-1.005972,0.64252,-0.542145,0.48717,3
