@relation 'train_std_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48-weka.filters.unsupervised.attribute.Remove-R3-9,12,14-19,21,25-27,29-31,36-46'

@attribute numberOfAnalystOpinions numeric
@attribute sector {0,1,2,3,4,5,6,7,8,9,10}
@attribute marketCap numeric
@attribute enterpriseValue numeric
@attribute enterpriseToRevenue numeric
@attribute totalRevenue numeric
@attribute grossProfits numeric
@attribute ebitda numeric
@attribute netIncomeToCommon numeric
@attribute totalDebt numeric
@attribute operatingCashflow numeric
@attribute freeCashflow numeric
@attribute trailingAnnualDividendYield numeric
@attribute payoutRatio numeric
@attribute _PER numeric
@attribute target {0,1,2,3,4}

@data
0.857335,9,-0.149049,-0.168642,-0.035056,-0.252831,-0.186613,-0.248487,-0.174714,-0.276883,-0.192303,-0.157153,-0.650203,-0.134552,-0.208271,2
1.091417,4,-0.130977,-0.118925,-0.035506,-0.075024,0.010854,0.217546,-0.089924,0.051215,0.231727,-0.419374,0.765035,-0.052064,-0.127571,1
0.03805,9,-0.129377,-0.147247,-0.030146,-0.275953,-0.23973,-0.240696,-0.17355,-0.397191,-0.214917,-0.178874,-0.650203,-0.134552,1.345264,0
-1.249399,4,-0.171494,-0.189183,-0.035379,-0.285516,-0.256683,-0.245094,-0.178083,-0.396122,-0.229947,-0.205408,3.893521,2.36225,0.560746,2
-0.430113,1,-0.105251,-0.100885,-0.035663,0.090186,-0.085723,0.020165,0.026485,0.086294,-0.00664,0.154994,0.908312,-0.072038,-0.151791,2
-0.898276,2,-0.159722,-0.175315,-0.035795,-0.191595,-0.203522,-0.193917,-0.123953,-0.323706,-0.183756,-0.129828,-0.650203,-0.134552,-0.166855,2
0.974376,6,-0.021495,-0.005649,-0.035419,0.186485,0.227285,0.137943,0.154264,0.332231,0.002605,0.124374,-0.571138,-0.130401,-0.130991,1
1.208458,6,-0.161685,-0.177606,-0.035703,-0.22864,-0.225718,-0.243676,-0.18685,-0.305629,-0.269514,-0.261381,-0.650203,-0.134552,-0.208271,3
-0.781236,9,-0.165493,-0.183643,-0.034059,-0.282404,-0.25613,-0.251209,-0.185221,-0.396502,-0.235158,-0.208287,-0.650203,-0.134552,-0.208271,1
0.389172,9,-0.098806,-0.101878,-0.035075,-0.141596,-0.043555,-0.075905,-0.06411,-0.059193,-0.054396,0.07111,-0.367756,-0.112065,-0.096642,3
1.091417,5,0.304437,0.380071,-0.035373,1.077227,0.667176,0.951409,1.187126,1.072765,1.425577,2.479681,-0.057386,-0.109054,-0.147938,3
-0.547154,0,-0.115334,-0.133496,-0.030141,-0.272237,-0.226798,-0.193556,-0.137567,-0.398228,-0.179119,-0.207607,-0.525424,-0.09451,-0.063581,2
