@relation 'train_std_main_financial_metrics-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.NumericToNominal-R1-3,49,51'

@attribute sector {0,1,2,3,4,5,6,7,8,9,10}
@attribute In_SP500 {0,1}
@attribute In_NASDAQ {0,1}
@attribute currentPrice numeric
@attribute allTimeHigh numeric
@attribute allTimeLow numeric
@attribute 52WeekChange numeric
@attribute fiftyDayAverageChangePercent numeric
@attribute twoHundredDayAverageChangePercent numeric
@attribute beta numeric
@attribute averageVolume numeric
@attribute marketCap numeric
@attribute enterpriseValue numeric
@attribute priceToBook numeric
@attribute enterpriseToRevenue numeric
@attribute profitMargins numeric
@attribute grossMargins numeric
@attribute ebitdaMargins numeric
@attribute operatingMargins numeric
@attribute returnOnAssets numeric
@attribute returnOnEquity numeric
@attribute earningsQuarterlyGrowth numeric
@attribute revenueGrowth numeric
@attribute totalRevenue numeric
@attribute revenuePerShare numeric
@attribute grossProfits numeric
@attribute ebitda numeric
@attribute netIncomeToCommon numeric
@attribute trailingEps numeric
@attribute totalCash numeric
@attribute totalCashPerShare numeric
@attribute totalDebt numeric
@attribute quickRatio numeric
@attribute currentRatio numeric
@attribute bookValue numeric
@attribute operatingCashflow numeric
@attribute freeCashflow numeric
@attribute trailingAnnualDividendYield numeric
@attribute payoutRatio numeric
@attribute sharesOutstanding numeric
@attribute floatShares numeric
@attribute sharesShort numeric
@attribute sharesPercentSharesOut numeric
@attribute shortRatio numeric
@attribute shortPercentOfFloat numeric
@attribute heldPercentInsiders numeric
@attribute heldPercentInstitutions numeric
@attribute fullTimeEmployees numeric
@attribute is_Insolvent {0}
@attribute _debtToEquity numeric
@attribute has_benefits {0,1}
@attribute _PER numeric
@attribute target {0,1,2,3,4}

@data
5,0,0,-0.596068,-0.162834,-0.672347,0.033812,-0.266397,0.012084,-0.381096,-0.164778,-0.181659,-0.198222,-0.386329,0.159062,4.254691,1.803994,3.112111,4.7789,0.799035,-0.174333,-0.132602,-0.586274,-0.287314,-0.491791,-0.235812,-0.195683,-0.134772,-0.239052,-0.149461,-0.24658,-0.415941,0.53411,0.576149,-0.231885,-0.193592,-0.129801,0.12902,-0.095356,-0.120245,-0.103997,-0.26024,-0.519032,-0.584336,-0.457544,-0.342556,0.669337,-0.272914,0,-0.294309,0,-0.153925,3
2,1,0,-0.467623,-0.137384,-0.731622,-0.78836,-0.420175,-0.606103,-0.023557,-0.088809,-0.154517,-0.143994,-0.281253,-0.48461,-0.656143,-1.116153,-0.525927,-0.589674,-0.360881,-0.334394,-0.09479,0.314679,-0.073378,-0.188179,-0.16876,-0.118065,-0.15654,-0.36435,-0.149058,-0.252245,0.001451,-0.282032,-0.35094,-0.283558,-0.193116,-0.149846,-0.009061,-0.064738,-0.075057,-0.056333,-0.220186,-0.575242,-0.547838,-0.602549,-0.44505,-0.165407,-0.127802,0,-0.019146,0,-0.09195,2
7,0,0,-0.521557,-0.084884,-0.685643,0.793626,-0.722687,-0.185871,-1.385844,-0.311553,-0.165002,-0.182015,-0.160615,-0.230099,-0.41752,-0.980936,-0.70951,-0.752688,-0.197775,-0.322337,-0.087323,0.128987,-0.245163,-0.427851,-0.246736,-0.245955,-0.196212,-0.495732,-0.150571,-0.254242,-0.426696,0.021047,-0.05458,-0.446273,-0.234257,-0.200176,-0.578838,-0.092504,-0.081598,-0.269773,-0.553083,-0.927833,-0.576226,-0.505879,5.988989,-4.040653,-0.212361,0,-0.279531,0,-0.018377,1
7,0,0,1.479267,0.197792,0.604004,0.633089,-0.296481,-0.033356,1.012641,-0.449179,-0.159927,-0.174503,-0.182067,0.531027,0.249914,-0.017021,0.234613,0.378276,-0.241524,-0.365907,-0.116154,-0.063584,-0.278751,-0.097137,-0.249101,-0.239368,-0.196619,0.36068,-0.160113,-0.150022,-0.395114,-0.087812,0.267562,1.106255,-0.236104,-0.193246,-0.792872,-0.118506,-0.336231,-0.321458,-0.738546,-0.874178,-0.831716,-0.837988,-0.344819,0.692344,-0.228013,0,-0.309213,0,0.00162,1
9,0,0,-0.617906,0.063827,-0.429154,-0.092098,0.412605,0.290324,0.825596,-0.464096,-0.204739,-0.222795,-0.393605,-0.635941,-1.009133,-0.576326,-1.091843,-0.678924,-1.018241,-0.610703,0.095497,-0.641294,-0.302317,-0.256897,-0.276528,-0.279251,-0.226015,-0.597917,-0.164927,-0.135746,-0.450332,-0.087515,-0.179769,-0.257122,-0.265068,-0.233043,-0.792872,-0.118506,-0.356597,-0.339905,-0.709767,0.214255,0.741778,-0.150383,0.32927,-0.96518,-0.269485,0,-0.313458,0,0.765361,0
2,0,0,-0.204494,-0.092607,2.57836,-0.523826,-0.75256,-0.994454,0.916635,-0.263316,-0.190528,-0.207337,0.119012,-0.214106,-0.908122,-0.240797,-0.734809,-0.893609,-0.941288,-0.497926,-0.053954,0.300924,-0.285316,-0.267147,-0.259042,-0.268043,-0.223792,-0.552907,-0.146704,-0.014467,-0.403386,0.081722,-0.107473,-0.402676,-0.248515,-0.22539,-0.792872,-0.118506,-0.326803,-0.310416,-0.346987,1.913334,-0.028747,1.694144,-0.083242,0.981431,-0.157623,0,-0.263516,0,0.614929,3
7,1,0,0.174661,-0.074073,-0.716117,0.114024,0.601867,0.620754,-0.50193,-0.361578,-0.133335,-0.140421,-0.093197,-0.457955,-0.68353,-0.895819,-0.801435,-0.731843,-0.286844,-0.369987,-0.106134,-0.214889,-0.084128,0.240817,-0.147648,-0.176509,-0.16805,-0.135649,-0.083802,0.065785,-0.269636,-0.060151,-0.245686,-0.061354,-0.218943,-0.042387,-0.424789,-0.076035,-0.240729,-0.223139,-0.59826,-0.746428,-0.458619,-0.727285,-0.392807,-0.07246,0.144663,0,-0.244173,0,-0.026617,2
6,1,0,4.058843,0.792316,-0.519555,-0.401211,0.950984,-0.090576,-1.063066,0.248317,2.605831,2.76415,2.68097,1.678908,1.154958,1.713758,1.127439,1.989473,2.354937,2.000884,-0.041287,2.0203,0.708632,-0.05729,1.726396,1.797952,1.427822,1.254804,0.06434,-0.159124,2.023786,-0.310585,-0.276784,-0.262038,0.754818,-0.619479,-0.471056,-0.068811,0.602676,0.628607,-0.099905,-0.948273,-0.738441,-0.870731,-0.479003,-0.484371,0.163454,0,1.198937,0,0.024797,1
1,1,0,-0.40919,-0.177425,1.449365,0.828542,-0.159847,0.099318,-0.927334,0.088606,-0.110385,-0.112103,-0.310075,-0.466726,0.138253,-0.422808,-0.207539,0.268769,0.58343,-0.030012,-0.009147,-0.132359,0.001319,-0.244479,-0.018924,0.014525,0.045058,-0.012784,0.18304,0.104782,0.007033,0.340187,0.156992,-0.150441,0.044492,0.211239,-0.34678,-0.10357,-0.14196,-0.019085,0.835523,-0.112786,-0.024692,0.576202,-0.376147,1.496597,-0.180416,0,-0.101689,0,-0.141609,3
7,0,0,-0.473743,-0.138805,-0.66068,-0.049445,-1.663279,-0.972372,0.494542,-0.042415,-0.18459,-0.185799,-0.372995,-0.64196,-0.838471,-0.983337,-0.779673,-0.710632,-0.725009,-0.393096,-0.147727,1.353182,-0.053283,0.339757,-0.141093,-0.157674,-0.188661,-0.313258,-0.029174,0.314663,-0.060696,-0.336164,-0.477458,-0.021978,-0.132478,-0.105061,-0.792872,-0.118506,-0.245317,-0.226834,-0.191894,0.301125,-0.758718,0.205114,-0.441066,0.024721,0.008769,0,-0.172894,0,-0.11057,0
