@relation 'train_std_main_financial_metrics-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,47,49,45'

@attribute numberOfAnalystOpinions numeric
@attribute sector {0,1,2,3,4,5,6,7,8,9,10}
@attribute In_SP500 {0,1}
@attribute In_NASDAQ {0,1}
@attribute currentPrice numeric
@attribute allTimeHigh numeric
@attribute allTimeLow numeric
@attribute beta numeric
@attribute averageVolume numeric
@attribute marketCap numeric
@attribute enterpriseValue numeric
@attribute priceToBook numeric
@attribute enterpriseToRevenue numeric
@attribute profitMargins numeric
@attribute grossMargins numeric
@attribute ebitdaMargins numeric
@attribute operatingMargins numeric
@attribute returnOnAssets numeric
@attribute returnOnEquity numeric
@attribute totalRevenue numeric
@attribute revenuePerShare numeric
@attribute grossProfits numeric
@attribute ebitda numeric
@attribute netIncomeToCommon numeric
@attribute trailingEps numeric
@attribute totalCash numeric
@attribute totalCashPerShare numeric
@attribute totalDebt numeric
@attribute quickRatio numeric
@attribute currentRatio numeric
@attribute bookValue numeric
@attribute operatingCashflow numeric
@attribute freeCashflow numeric
@attribute trailingAnnualDividendYield numeric
@attribute payoutRatio numeric
@attribute sharesOutstanding numeric
@attribute floatShares numeric
@attribute sharesShort numeric
@attribute sharesPercentSharesOut numeric
@attribute shortRatio numeric
@attribute shortPercentOfFloat numeric
@attribute heldPercentInsiders numeric
@attribute heldPercentInstitutions numeric
@attribute fullTimeEmployees numeric
@attribute is_Insolvent {0}
@attribute _debtToEquity numeric
@attribute has_benefits {0,1}
@attribute _PER numeric
@attribute target {0,1,2,3,4}

@data
-1.402473,2,0,0,-0.343437,-0.235677,-0.675759,-0.03402,-0.365373,-0.166235,-0.184166,-0.275621,-0.090428,-0.062529,-0.278013,-0.084749,0.054133,0.230893,-0.076002,-0.303818,-0.225726,-0.294481,-0.255248,-0.179751,-0.193655,-0.301591,-0.253625,-0.372028,-0.263078,-0.243704,-0.353384,-0.247804,-0.201879,0.748756,0.16835,-0.266154,-0.246713,-0.509057,-0.858005,-0.676078,-0.862889,-0.38559,-0.075562,-0.326475,0,-0.270539,0,0.091087,0
-0.068433,2,0,0,-0.348007,-0.209194,-0.347255,1.08254,-0.17491,-0.164588,-0.165387,-0.236786,-0.091418,-0.083179,-0.36433,-0.220232,0.053953,-0.037769,-0.247899,-0.140002,0.339094,-0.16231,-0.23198,-0.182988,-0.225229,-0.284794,-0.221297,-0.139209,-0.478569,-0.367323,-0.388084,-0.242767,-0.220675,0.734783,0.262038,-0.240573,-0.228874,-0.081769,1.876656,0.118164,1.110747,-0.39875,0.74078,-0.13208,0,0.215487,1,-0.200518,1
0.901778,2,0,0,-0.351016,-0.149661,-0.674712,0.818677,0.469816,-0.141838,-0.136024,-0.142466,-0.090586,-0.088884,0.341058,-0.16779,0.053367,0.007886,0.009134,-0.045256,-0.211467,0.100817,-0.170798,-0.16275,-0.193023,-0.17012,-0.231231,-0.003207,-0.394462,-0.364197,-0.421972,-0.21481,-0.104873,0.415221,0.061237,0.091834,0.110246,0.825462,0.301337,-0.18246,0.191869,-0.464727,0.209493,-0.064068,0,1.005047,0,0.045942,3
0.052843,4,0,0,-0.39299,-0.047356,-0.635328,2.061614,3.279627,-0.151602,-0.142827,-0.387,-0.087591,-0.695748,-0.116067,0.209951,0.054511,-0.123482,-0.432291,-0.215293,-0.338606,-0.197874,-0.108604,-0.45064,-0.328792,-0.228165,-0.282765,0.058181,-0.375133,-0.366121,-0.309539,-0.176151,-0.077068,-0.656452,-0.13082,0.811825,0.501072,6.601254,1.55697,-0.267822,0.978902,0.650824,-1.788767,-0.272633,0,0.17326,1,-0.200518,3
-0.189709,6,0,0,0.045224,-0.107132,-0.410107,-0.452036,-0.37261,-0.158531,-0.177665,-0.277695,-0.089063,0.019776,-0.289023,-0.115438,0.054106,0.406708,0.022808,-0.290435,0.083536,-0.282837,-0.250731,-0.166682,0.075987,-0.29068,-0.091532,-0.385324,-0.128036,-0.252121,0.421652,-0.245171,-0.202504,-0.656452,-0.13082,-0.285413,-0.266452,-0.506747,-0.497877,-0.093386,-0.540004,-0.318034,1.038632,-0.259124,0,-0.309061,0,-0.078814,1
-1.15992,8,0,0,-0.341646,-0.215911,-0.402089,-0.239556,-0.280418,-0.161977,-0.178215,-0.320006,-0.073113,-0.170864,0.512575,0.433251,0.054114,-0.226974,-0.167734,-0.321094,-0.348154,-0.304628,-0.254555,-0.184128,-0.220808,-0.309575,-0.297087,-0.351936,-0.507824,-0.611436,-0.285625,-0.246576,-0.193181,1.157839,0.152548,-0.214715,-0.195319,-0.412422,-0.571058,-0.583292,-0.697411,-0.426035,0.255367,-0.374,0,-0.266878,1,-0.200518,4
-0.553538,6,0,0,-0.31007,-0.076392,-0.620662,-0.500642,-0.217823,-0.163158,-0.183608,-0.182208,-0.082098,-0.739234,0.859309,-0.782118,0.050498,-1.491266,-0.636525,-0.321734,-0.337036,-0.303518,-0.279009,-0.198574,-0.331949,-0.269091,-0.140706,-0.398059,0.468288,0.518697,-0.365891,-0.264793,-0.213079,-0.656452,-0.13082,-0.254048,-0.256222,-0.395372,0.033649,-0.149057,0.338513,-0.494293,1.061569,-0.356467,0,-0.307538,1,-0.200518,3
-0.553538,9,0,0,-0.263983,-0.175912,0.712853,-0.668682,-0.29123,-0.154314,-0.175272,-0.048736,-0.080712,-0.137207,0.926278,-0.332313,0.05343,-0.551059,-0.218657,-0.313395,-0.325291,-0.286275,-0.271438,-0.184787,-0.224597,-0.242139,-0.141493,-0.399316,-0.212927,-0.356741,-0.373554,-0.241655,-0.184962,-0.656452,-0.13082,-0.221176,-0.226225,-0.437179,-0.651942,-0.368031,-0.591128,0.290409,-0.015211,-0.352988,0,-0.309362,1,-0.200518,2
-0.796091,6,0,0,-0.366633,-0.205928,-0.624852,0.918667,-0.043666,-0.165322,-0.186214,-0.195811,-0.082488,0.571682,1.561467,0.329863,0.056313,1.864156,0.599345,-0.324805,-0.353707,-0.307159,-0.263258,-0.172373,-0.160818,-0.268909,-0.193564,-0.400868,1.391638,1.211111,-0.42758,-0.255817,-0.212059,-0.656452,-0.13082,-0.224955,-0.213388,0.180527,2.683574,-0.308648,1.597766,0.113272,-2.313655,-0.377712,0,-0.311982,0,-0.139699,2
0.295396,1,0,0,-0.363509,-0.237501,-0.496212,-0.314549,-0.19016,-0.150789,-0.131162,-0.388502,-0.087451,-1.192216,0.683417,0.057582,0.053737,-0.29842,-0.533344,-0.190275,-0.28271,-0.069018,-0.132863,-0.763679,-0.812506,0.412135,0.102102,0.36496,-0.293116,-0.424804,0.129791,-0.029232,-0.287425,-0.656452,-0.13082,-0.127355,-0.008988,-0.235447,-0.786749,-0.278957,-0.531932,-0.207312,0.455833,-0.246392,0,-0.090876,1,-0.200518,3
