@relation 'train_main_financial_metrics-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,49,45,47'

@attribute numberOfAnalystOpinions numeric
@attribute sector {0,1,2,3,4,5,6,7,8,9,10}
@attribute In_SP500 {0,1}
@attribute In_NASDAQ {0,1}
@attribute currentPrice numeric
@attribute allTimeHigh numeric
@attribute allTimeLow numeric
@attribute beta numeric
@attribute averageVolume numeric
@attribute marketCap numeric
@attribute enterpriseValue numeric
@attribute priceToBook numeric
@attribute enterpriseToRevenue numeric
@attribute profitMargins numeric
@attribute grossMargins numeric
@attribute ebitdaMargins numeric
@attribute operatingMargins numeric
@attribute returnOnAssets numeric
@attribute returnOnEquity numeric
@attribute totalRevenue numeric
@attribute revenuePerShare numeric
@attribute grossProfits numeric
@attribute ebitda numeric
@attribute netIncomeToCommon numeric
@attribute trailingEps numeric
@attribute totalCash numeric
@attribute totalCashPerShare numeric
@attribute totalDebt numeric
@attribute quickRatio numeric
@attribute currentRatio numeric
@attribute bookValue numeric
@attribute operatingCashflow numeric
@attribute freeCashflow numeric
@attribute trailingAnnualDividendYield numeric
@attribute payoutRatio numeric
@attribute sharesOutstanding numeric
@attribute floatShares numeric
@attribute sharesShort numeric
@attribute sharesPercentSharesOut numeric
@attribute shortRatio numeric
@attribute shortPercentOfFloat numeric
@attribute heldPercentInsiders numeric
@attribute heldPercentInstitutions numeric
@attribute fullTimeEmployees numeric
@attribute is_Insolvent {0}
@attribute _debtToEquity numeric
@attribute has_benefits {0,1}
@attribute _PER numeric
@attribute target {0,1,2,3,4}

@data
6,0,0,0,73.86,79.94,5.64,0.542,3061865,37280423936,39466422272,5.026884,5.16,0.23598,0.43339,0.48699,0.40859,0.15608,0.31251,7648999936,16.177,3315000064,3724999936,1804999936,3.78,2000999936,3.964,2312000000,1.83,2.987,14.693,3039000064,920625024,0.02056,0.2738,504744430,504103405,7649763,0.0152,2.15,0.0171,0.00168,0.74276,12634,0,157353841.965562,0,19.539683,3
19,9,0,0,9.95,44.04,2.71,1.649,6085278,1665258880,1792322816,2.894125,4.477,0.05276,0.33696,0.15405,0.14433,0.03837,0.03772,400353984,2.396,134902000,61676000,21124000,0.12,4686000,0.028,131750000,1.45,2.337,3.438,31424000,20159376,0,0,167362699,143978783,22505584,0.1345,4.3,0.1744,0.00921,1.10925,1290,0,38321698.662013,0,82.916667,2
11,9,1,0,235.73,584.01,3.09375,1.2,1518856,17853198336,18517270528,11.813079,2.884,0.19709,0.67959,0.20595,0.19392,0.09347,1.16125,6420008960,82.973,4362980864,1322182016,1265344000,16.22,2198703104,29.031,2862774016,0.979,1.106,19.955,1623198976,1142550784,0,0,75735795,73287257,4505373,0.0595,2.64,0.069,0.03063,1.00059,20994,0,143461489.150589,0,14.533292,3
23,3,1,0,100.78,374.2,7.9375,1.157,3620570,36316786688,42815660032,9.380992,2.989,-0.07909,0.73963,0.13681,0.04427,0.03401,-0.24687,14325999616,39.783,10595999744,1960000000,-1132999936,-3.15,2920999936,8.116,9466999808,0.819,1.301,10.743,1272000000,1572749952,0.017665,4.7143,234815064,233352315,9129695,0.0253,2.97,0.044,0.00426,0.95186,40470,0,881224965.83822,1,0,3
7,7,0,0,323.87,481.26,0.296875,0.994,523315,13845681152,15640693760,6.490901,3.127,0.16118,0.36921,0.24477,0.23201,0.10584,0.314,5001800192,112.274,1846700032,1224300032,803900032,17.85,68400000,1.604,1895800064,1.363,2.19,49.896,972300032,678950016,0.012536,0.224,42750735,42134661,2629417,0.0615,4.17,0.0811,0.01118,1.03503,5500,0,37995030.944364,0,18.143978,2
15,9,0,0,143.61,176.7,7.195,2.598,5342989,24843898880,24379858944,31.779154,40.624,0.20849,0.65984,0.22721,0.2723,0.09128,0.18752,600134976,3.547,395993984,136355008,125122000,0.72,479646016,2.773,15608000,6.197,7.414,4.519,126487000,15666750,0,0,172995595,152571735,7274420,0.0421,1.13,0.0477,0.11712,0.78019,622,0,3453861.473777,0,199.458333,0
19,2,1,0,143.84,146.46,0.273438,0.921,4997601,160085098496,168567111680,18.054474,2.91,0.08587,0.30574,0.13215,0.11249,0.1276,0.59755,57925001216,51.696,17710000128,7655000064,4974000128,4.39,4639000064,4.168,13121000448,0.473,1.174,7.967,5935000064,3101874944,0.011224,0.3531,1112938750,1110679484,14482314,0.013,3.07,0.013,0.00108,0.93056,364000,0,1646918595.205222,0,32.765376,1
7,2,0,0,22.54,59.96,2.5,1.695,212073,589606592,1053709568,1.330029,1.621,0.02351,0.54182,0.20558,0.07331,0.02434,0.0311,649900032,24.069,352132000,133604000,15276000,0.57,52308000,2,516411008,0.755,1.123,16.947,91028000,-20602500,0.044464,1.7544,26158234,19039271,1050464,0.0402,5.26,0.066,0.27194,0.73624,5300,0,30472119.431168,0,39.54386,2
9,4,0,0,24.25,92.75,2.09,1.054,1587560,4263670016,6883650560,3.03999,5.103,0.17165,0.62753,0.51652,0.35947,0.08217,0.20109,1348892032,7.837,846476032,696732032,228554000,1.33,5861000,0.033,2625841920,0.893,1.808,7.977,464336992,-39288248,0.032197,0.5414,175821435,171074256,6826995,0.0388,3.89,0.0397,0.02724,0.95612,1300,0,329176622.790523,0,18.233083,0
15,9,0,0,31.25,65.58,15.25,1.147,1497801,4551219200,7090022912,1.580118,1.893,0.02973,0.29634,0.1917,0.15269,0.03548,0.0378,3745158912,25.178,1109842048,717942976,111340000,0.75,661777024,4.544,3200581120,1.749,2.708,19.777,561707008,471422880,0.015085,0.64,145639006,144510304,5903686,0.0405,4.36,0.0455,0.0116,1.0824,19000,0,161833499.519644,0,41.666667,2
