@relation 'train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48-weka.filters.unsupervised.attribute.Remove-R3-9,11,14-19,23-27,30-33,36,38,40-41,43-46'

@attribute numberOfAnalystOpinions numeric
@attribute sector {0,1,2,3,4,5,6,7,8,9,10}
@attribute marketCap numeric
@attribute priceToBook numeric
@attribute enterpriseToRevenue numeric
@attribute totalRevenue numeric
@attribute revenuePerShare numeric
@attribute grossProfits numeric
@attribute totalDebt numeric
@attribute quickRatio numeric
@attribute trailingAnnualDividendYield numeric
@attribute payoutRatio numeric
@attribute floatShares numeric
@attribute sharesPercentSharesOut numeric
@attribute heldPercentInsiders numeric
@attribute _PER numeric
@attribute target {0,1,2,3,4}

@data
2,1,439984512,2.347826,2.426,604800000,7.349,373500000,1074099968,0.397,0,0,49151024,0.018,0.03597,0,3
6,2,547750144,0.58217,0.725,2320257024,104.2,751980992,1273783040,0.266,0,0,18705710,0.16,0.13194,0,1
6,9,2018304128,1.104824,0.79,4004900096,90.917,1155100032,1285299968,1.91,0,0,42257364,0.0449,0.03628,14.675159,3
25,6,104662286336,1.35117,0.451,384328990720,304.54,51134001152,82724003840,0.582,0.03269,0.7409,1265700939,0.0149,0.01069,22.986072,1
14,9,3737802752,6.396666,5.041,742948992,12.16,390956000,539324032,0.82,0,0,60187616,0.0616,0.0111,997.666667,2
5,8,1323930368,1.026146,2.38,1075160960,10.703,272216992,1437768960,1.83,0.04031,0.8299,94713399,0.0424,0.01066,20.68254,1
8,6,492607808,8,5.638,156110000,0.542,43017000,702220992,5.807,0,0,298123839,0.1264,0.07881,0,2
8,5,5862758912,1.044208,4.48,1268306048,12.28,1041561984,494630016,1.557,0.020068,0.172,95036794,0.0206,0.05203,8.673469,2
11,7,22622232576,6.486317,4.307,5626399744,105.068,1958499968,2000700032,0.681,0.01208,0.3364,52865807,0.0361,0.00376,27.625568,2
4,7,145248640,0.703883,0.174,534624992,16.212,204906000,25353000,3.05,0.091503,1.5556,30682191,0.0183,0.06655,0,2
11,7,15236898816,8.528663,4.336,3876600064,44.79,1737799936,2230400000,1.557,0.011155,0.275,84757128,0.03,0.01125,24.617198,3
5,4,1437979520,0.946079,0.863,1673282944,14.346,389452000,213423008,1.598,0,0,102702254,0.0615,0.01441,20.393443,2
11,5,7249860608,1.479885,12.262,798409984,2.421,333355008,2645309952,0.319,0,0,364589827,0.2731,0.00657,10.521505,2
14,6,10466590720,2.985712,5.39,2040066944,9.408,1637289984,1483255040,1.199,0.005194,0.1479,214891167,0.0308,0.01609,28.56213,3
12,6,939160576,3.256791,10.976,51898000,0.802,-133707000,23715000,7.727,0,0,42632302,0.1161,0.03485,0,0
12,10,11124647936,1.653766,4.797,5255240192,44.996,2148604928,14004524032,0.246,0.038333,0.7335,118655744,0.0431,0.00247,19.166667,3
7,5,2309081856,4.01553,6.176,397385984,2.527,249515008,186711008,0.377,0.04198,1.1137,65609506,0.0256,0.01372,26.814815,2
