@relation 'train_std_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48-weka.filters.unsupervised.attribute.Remove-R3-9,11,14-19,23-27,30-33,36,38,40-41,43-46-weka.filters.unsupervised.attribute.RemoveType-Tnominal'

@attribute numberOfAnalystOpinions numeric
@attribute marketCap numeric
@attribute priceToBook numeric
@attribute enterpriseToRevenue numeric
@attribute totalRevenue numeric
@attribute revenuePerShare numeric
@attribute grossProfits numeric
@attribute totalDebt numeric
@attribute quickRatio numeric
@attribute trailingAnnualDividendYield numeric
@attribute payoutRatio numeric
@attribute floatShares numeric
@attribute sharesPercentSharesOut numeric
@attribute heldPercentInsiders numeric
@attribute _PER numeric
@attribute target {0,1,2,3,4}

@data
-1.015317,-0.168419,0.222376,-0.021275,-0.287188,-0.386407,-0.261011,-0.398344,4.623566,-0.650203,-0.134552,-0.163313,-0.116813,1.353091,-0.208271,1
-0.430113,-0.163561,7.482709,-0.005313,-0.287095,-0.385384,-0.258036,-0.385017,0.087289,-0.650203,-0.134552,-0.232044,3.044149,0.61254,-0.208271,1
-0.430113,-0.169687,-0.259735,-0.03507,-0.284655,-0.356421,-0.262975,-0.396845,0.674606,-0.650203,-0.134552,-0.26967,2.568136,0.135489,-0.208271,0
-0.898276,-0.170529,-0.364485,-0.035658,-0.243337,-0.227914,-0.235128,-0.259692,-0.325787,6.450189,0.38561,-0.215037,2.326196,-0.270726,-0.208271,4
-0.430113,-0.1689,-0.311138,-0.035577,-0.283099,-0.374402,-0.248487,-0.39848,1.882057,-0.650203,-0.134552,-0.213134,0.902091,0.92338,-0.208271,1
-0.430113,-0.152099,-0.204646,-0.035729,-0.159969,-0.16887,-0.196895,-0.314877,-0.279166,-0.650203,-0.134552,-0.135095,-0.311546,-0.483667,-0.096027,1
1.091417,0.133422,0.18195,-0.033411,-0.105717,-0.333698,-0.01125,-0.394218,0.221942,-0.650203,-0.134552,0.434686,-0.732483,1.938832,0.013852,2
-1.249399,-0.147593,0.539637,-0.029363,-0.281366,-0.372979,-0.248631,-0.361654,0.149276,-0.650203,-0.134552,-0.243741,-0.606595,4.724035,-0.208271,0
-1.132358,-0.166836,-0.323332,-0.035841,-0.186934,-0.178735,-0.214304,-0.265297,-0.214835,0.321007,-0.104247,-0.156675,0.056283,-0.375239,-0.164413,4
-1.249399,-0.170226,-0.264683,-0.035306,-0.273195,-0.337167,-0.236943,-0.325422,-0.418508,-0.650203,-0.134552,-0.244265,-0.803295,-0.237397,-0.208271,3
-0.781236,-0.169746,-0.374418,-0.035821,-0.232469,0.318993,-0.214774,-0.311802,-0.452627,-0.650203,-0.134552,-0.276315,1.989839,0.597746,-0.208271,1
-0.781236,-0.163191,-0.341935,-0.035801,-0.192473,0.229001,-0.191162,-0.311017,-0.024445,-0.650203,-0.134552,-0.251522,-0.274173,-0.234699,-0.133533,3
1.442539,0.294318,-0.326625,-0.035904,8.836842,1.676283,2.736304,5.243747,-0.370324,0.754692,-0.018935,1.036414,-0.864271,-0.457387,-0.091207,1
0.155091,-0.155527,-0.013051,-0.034515,-0.269916,-0.304572,-0.235921,-0.361898,-0.308337,-0.650203,-0.134552,-0.232646,0.054316,-0.453819,4.872677,2
-0.898276,-0.166286,-0.346825,-0.03532,-0.262029,-0.314444,-0.242876,-0.300617,-0.045281,1.082165,-0.005046,-0.196301,-0.323348,-0.457648,-0.102938,1
-0.547154,-0.169992,0.086595,-0.034335,-0.283848,-0.383284,-0.256301,-0.350788,0.990533,-0.650203,-0.134552,0.017832,1.328929,0.135402,-0.208271,2
-0.547154,-0.146056,-0.345702,-0.034685,-0.257443,-0.303759,-0.197812,-0.364947,-0.116384,0.212242,-0.107712,-0.19596,-0.752153,-0.097641,-0.164099,2
-0.196032,-0.071355,-0.007479,-0.034737,-0.153977,0.324873,-0.144103,-0.262221,-0.344539,-0.131067,-0.082057,-0.240354,-0.447268,-0.517693,-0.067579,2
-1.015317,-0.17154,-0.366853,-0.035988,-0.274861,-0.27712,-0.246818,-0.396955,0.272469,3.282246,0.108199,-0.263707,-0.797394,0.028714,-0.208271,2
-0.196032,-0.104273,0.119451,-0.034729,-0.195519,-0.083506,-0.157031,-0.246554,-0.116384,-0.170808,-0.091638,-0.206782,-0.567255,-0.452514,-0.0829,3
-0.898276,-0.165778,-0.351801,-0.035779,-0.247828,-0.289762,-0.236009,-0.384127,-0.105706,-0.650203,-0.134552,-0.187891,0.052349,-0.425015,-0.104411,2
