@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string
@attribute measureAttributesUsed numeric
@attribute measureNumIterations numeric
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric
@attribute measureOutOfBagError numeric

@data

train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,2,10,weka.classifiers.bayes.NaiveBayes,-D,5995231201785697655,20251028.0651,742,82,21,61,0,25.609756,74.390244,0,0.066791,0.296181,0.447312,98.189401,115.058799,176.880561,297.960678,-121.080117,2.15708,3.633667,-1.476587,26.971299,0.328918,15.248311,0.555556,5,0.287671,21,0.712329,52,0.444444,4,0.192308,0.555556,0.285714,0.179949,0.658295,0.247032,0.256098,0.19487,0.80513,0.743902,0.2911,0.256098,0.245164,0.054677,0.564104,0.315912,0.242755,0.256098,0,0,0.015625,0,15.625,0,28862,340263,41283,71.95122,58.536585,?,?,?,?,?,?,?
train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,3,1,weka.classifiers.bayes.NaiveBayes,-D,5995231201785697655,20251028.0651,741,83,26,57,0,31.325301,68.674699,0,0.13589,0.28491,0.421479,94.624754,108.634973,177.76735,213.367475,-35.600125,2.141775,2.570692,-0.428917,34.408636,0.414562,19.355993,0.75,6,0.266667,20,0.733333,55,0.25,2,0.230769,0.75,0.352941,0.307538,0.781667,0.245146,0.313253,0.179557,0.820443,0.686747,0.30832,0.313253,0.2832,0.109341,0.620092,0.353541,0.291749,0.313253,0.01,0,0,0,0,0,28538,339810,41736,87.951807,66.506024,?,?,?,?,?,?,?
train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,3,2,weka.classifiers.bayes.NaiveBayes,-D,5995231201785697655,20251028.0651,741,83,22,61,0,26.506024,73.493976,0,0.051517,0.290055,0.431386,96.333533,111.188678,177.76735,270.587173,-92.819823,2.141775,3.260086,-1.118311,28.152143,0.339182,15.836509,0.375,3,0.24,18,0.76,57,0.625,5,0.142857,0.375,0.206897,0.091644,0.650833,0.150332,0.26506,0.222695,0.777305,0.73494,0.327313,0.26506,0.270502,0.056842,0.593124,0.321346,0.270151,0.26506,0.003,0.003,0,0,0,0,28966,339810,41736,79.518072,60.722892,?,?,?,?,?,?,?
train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,3,3,weka.classifiers.bayes.NaiveBayes,-D,5995231201785697655,20251028.0651,741,83,23,60,0,27.710843,72.289157,0,0.071242,0.289906,0.441223,96.284017,113.723974,177.76735,264.662005,-86.894655,2.141775,3.188699,-1.046924,26.903689,0.324141,15.134213,0.625,5,0.36,27,0.64,48,0.375,3,0.15625,0.625,0.25,0.16068,0.691667,0.352515,0.277108,0.207939,0.792061,0.722892,0.311044,0.277108,0.251205,0.069106,0.60465,0.33326,0.229431,0.277108,0.004,0,0,0,0,0,28658,339810,41736,75.903614,59.518072,?,?,?,?,?,?,?
train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,3,4,weka.classifiers.bayes.NaiveBayes,-D,5995231201785697655,20251028.0651,741,83,28,55,0,33.73494,66.26506,0,0.181753,0.281614,0.417434,93.38775,107.408422,178.78839,219.88338,-41.09499,2.154077,2.649197,-0.49512,37.839298,0.455895,21.164293,0.888889,8,0.364865,27,0.635135,47,0.111111,1,0.228571,0.888889,0.363636,0.329939,0.828078,0.426881,0.337349,0.148729,0.851271,0.662651,0.389084,0.337349,0.318161,0.180964,0.655689,0.428289,0.299527,0.337349,0.004,0.001,0,0,0,0,28536,339810,41736,86.746988,66.26506,?,?,?,?,?,?,?
train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,3,5,weka.classifiers.bayes.NaiveBayes,-D,5995231201785697655,20251028.0651,742,82,26,56,0,31.707317,68.292683,0,0.1245,0.296735,0.449878,98.635622,116.06564,175.167642,317.729653,-142.562011,2.136191,3.874752,-1.738561,22.816865,0.278254,13.02573,0.444444,4,0.315068,23,0.684932,50,0.555556,5,0.148148,0.444444,0.222222,0.086054,0.627854,0.30131,0.317073,0.190434,0.809566,0.682927,0.436944,0.317073,0.30386,0.152118,0.578956,0.35847,0.283169,0.317073,0.002,0,0.015625,0,15.625,0,29186,340263,41283,74.390244,57.317073,?,?,?,?,?,?,?
train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,3,6,weka.classifiers.bayes.NaiveBayes,-D,5995231201785697655,20251028.0651,742,82,30,52,0,36.585366,63.414634,0,0.174443,0.280794,0.422542,93.336863,109.01316,175.167642,240.922714,-65.755071,2.136191,2.938082,-0.801891,35.324208,0.430783,20.165944,0.555556,5,0.246575,18,0.753425,55,0.444444,4,0.217391,0.555556,0.3125,0.214993,0.755708,0.338607,0.365854,0.188332,0.811668,0.634146,0.47689,0.365854,0.364579,0.20844,0.635775,0.399535,0.301671,0.365854,0,0,0,0,0,0,28648,340263,41283,76.829268,60.243902,?,?,?,?,?,?,?
train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,3,7,weka.classifiers.bayes.NaiveBayes,-D,5995231201785697655,20251028.0651,742,82,26,56,0,31.707317,68.292683,0,0.104175,0.280685,0.423385,93.300606,109.230649,175.167642,261.844849,-86.677207,2.136191,3.19323,-1.057039,30.909949,0.376951,17.645924,0.555556,5,0.219178,16,0.780822,57,0.444444,4,0.238095,0.555556,0.333333,0.240899,0.781583,0.308776,0.317073,0.21771,0.78229,0.682927,0.252853,0.317073,0.273097,0.072038,0.584895,0.326789,0.257576,0.317073,0.016,0,0,0,0,0,28852,340263,41283,75.609756,57.804878,?,?,?,?,?,?,?
train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,3,8,weka.classifiers.bayes.NaiveBayes,-D,5995231201785697655,20251028.0651,742,82,30,52,0,36.585366,63.414634,0,0.170105,0.280589,0.418163,93.268831,107.883462,175.167642,235.175076,-60.007434,2.136191,2.867989,-0.731798,28.937638,0.352898,16.519968,0.444444,4,0.191781,14,0.808219,59,0.555556,5,0.222222,0.444444,0.296296,0.190809,0.783866,0.268673,0.365854,0.188951,0.811049,0.634146,0.377555,0.365854,0.356146,0.174619,0.637057,0.375822,0.290954,0.365854,0,0,0,0,0,0,28748,340263,41283,75.609756,60.243902,?,?,?,?,?,?,?
train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,3,9,weka.classifiers.bayes.NaiveBayes,-D,5995231201785697655,20251028.0651,742,82,27,55,0,32.926829,67.073171,0,0.148575,0.28396,0.434568,94.358657,112.074799,175.521693,245.408956,-69.887263,2.140508,2.992792,-0.852284,33.328868,0.40645,18.988461,0.875,7,0.243243,18,0.756757,56,0.125,1,0.28,0.875,0.424242,0.407196,0.876689,0.505838,0.329268,0.183423,0.816577,0.670732,0.322033,0.329268,0.291644,0.121929,0.592322,0.348912,0.28309,0.329268,0.01,0,0,0,0,0,28752,340263,41283,76.829268,60,?,?,?,?,?,?,?
